Algorithm,ARI Score,Duration,Sample size,Root0,Root1,Root2
K-Means,0.5012353304508956,0.039690494537353516,57,GO:0051128,GO:0061024,GO:0006796
Agglomerative,0.44142694156955425,0.0023932456970214844,57,GO:0051128,GO:0061024,GO:0006796
DBSCAN,0.0,0.059800148010253906,57,GO:0051128,GO:0061024,GO:0006796
HDBSCAN,0.33692990639271836,0.005038738250732422,57,GO:0051128,GO:0061024,GO:0006796
K-Means,0.3555037647902474,0.00960230827331543,65,GO:0051128,GO:0061024,GO:0008104
Agglomerative,0.3896124632193609,0.0017223358154296875,65,GO:0051128,GO:0061024,GO:0008104
DBSCAN,0.0,0.002271890640258789,65,GO:0051128,GO:0061024,GO:0008104
HDBSCAN,0.2578047784088663,0.00513458251953125,65,GO:0051128,GO:0061024,GO:0008104
K-Means,0.5080828481371,0.009579896926879883,56,GO:0051128,GO:0061024,GO:1901565
Agglomerative,0.45537732033969536,0.0015878677368164062,56,GO:0051128,GO:0061024,GO:1901565
DBSCAN,0.0,0.002183675765991211,56,GO:0051128,GO:0061024,GO:1901565
HDBSCAN,0.0,0.004190206527709961,56,GO:0051128,GO:0061024,GO:1901565
K-Means,0.4843956264307955,0.009582281112670898,58,GO:0051128,GO:0061024,GO:0098662
Agglomerative,0.4843956264307955,0.0014541149139404297,58,GO:0051128,GO:0061024,GO:0098662
DBSCAN,0.0,0.0020792484283447266,58,GO:0051128,GO:0061024,GO:0098662
HDBSCAN,0.12359720767007082,0.004456996917724609,58,GO:0051128,GO:0061024,GO:0098662
K-Means,0.6544278286788491,0.00958871841430664,56,GO:0051128,GO:0061024,GO:0080135
Agglomerative,0.4950691668708857,0.001428842544555664,56,GO:0051128,GO:0061024,GO:0080135
DBSCAN,0.0,0.0020775794982910156,56,GO:0051128,GO:0061024,GO:0080135
HDBSCAN,0.0,0.004046440124511719,56,GO:0051128,GO:0061024,GO:0080135
K-Means,0.4987525442162282,0.009729862213134766,59,GO:0051128,GO:0006796,GO:0022607
Agglomerative,0.4987525442162282,0.0017790794372558594,59,GO:0051128,GO:0006796,GO:0022607
DBSCAN,0.0,0.002428770065307617,59,GO:0051128,GO:0006796,GO:0022607
HDBSCAN,0.3994587853356081,0.00505375862121582,59,GO:0051128,GO:0006796,GO:0022607
K-Means,0.5051834997251659,0.009737968444824219,55,GO:0051128,GO:0006796,GO:0008104
Agglomerative,0.47453179360950903,0.001728057861328125,55,GO:0051128,GO:0006796,GO:0008104
DBSCAN,0.0,0.0024132728576660156,55,GO:0051128,GO:0006796,GO:0008104
