Algorithm,ARI Score,Duration,Root1,Root2,Sample size
K-Means,0.9047661441092919,0.07190179824829102,GO:0051128,GO:0061024,42
Agglomerative,0.8141392336751214,0.004140138626098633,GO:0051128,GO:0061024,42
DBSCAN,0.0,0.028332948684692383,GO:0051128,GO:0061024,42
HDBSCAN,0.0,0.04728388786315918,GO:0051128,GO:0061024,42
K-Means,1.0,0.007993221282958984,GO:0051128,GO:0006796,32
Agglomerative,1.0,0.0014262199401855469,GO:0051128,GO:0006796,32
DBSCAN,0.0,0.031061649322509766,GO:0051128,GO:0006796,32
HDBSCAN,0.894766047035399,0.0014629364013671875,GO:0051128,GO:0006796,32
K-Means,0.2805536542702867,0.0065670013427734375,GO:0051128,GO:0022607,44
Agglomerative,0.5146294371008466,0.002332925796508789,GO:0051128,GO:0022607,44
DBSCAN,0.0,0.052686214447021484,GO:0051128,GO:0022607,44
HDBSCAN,0.0,0.0020360946655273438,GO:0051128,GO:0022607,44
K-Means,0.8051166735704283,0.008703947067260742,GO:0051128,GO:0008104,40
Agglomerative,0.7153733875103554,0.0015108585357666016,GO:0051128,GO:0008104,40
DBSCAN,0.0,0.04163193702697754,GO:0051128,GO:0008104,40
HDBSCAN,0.4816320890661087,0.0075418949127197266,GO:0051128,GO:0008104,40
K-Means,0.6156982670744139,0.01385807991027832,GO:0051128,GO:0097435,29
Agglomerative,0.4095690532745165,0.0008199214935302734,GO:0051128,GO:0097435,29
DBSCAN,0.0,0.029011964797973633,GO:0051128,GO:0097435,29
HDBSCAN,0.0,0.004405975341796875,GO:0051128,GO:0097435,29
K-Means,1.0,0.06155705451965332,GO:0051128,GO:1901565,31
Agglomerative,1.0,0.0008718967437744141,GO:0051128,GO:1901565,31
DBSCAN,0.0,0.011282205581665039,GO:0051128,GO:1901565,31
HDBSCAN,0.4279803176023261,0.0015718936920166016,GO:0051128,GO:1901565,31
K-Means,0.2479489516864175,0.006742000579833984,GO:0051128,GO:0098662,33
Agglomerative,1.0,0.005491018295288086,GO:0051128,GO:0098662,33
DBSCAN,0.0,0.08156418800354004,GO:0051128,GO:0098662,33
HDBSCAN,0.37215777262180977,0.0024869441986083984,GO:0051128,GO:0098662,33
K-Means,0.09626846333246955,0.020805835723876953,GO:0051128,GO:0080135,31
Agglomerative,0.750397956539444,0.0011479854583740234,GO:0051128,GO:0080135,31
DBSCAN,0.0,0.0066220760345458984,GO:0051128,GO:0080135,31
HDBSCAN,0.0,0.0014641284942626953,GO:0051128,GO:0080135,31
K-Means,0.6772334293948127,0.08787298202514648,GO:0051128,GO:0006996,35
Agglomerative,1.0,0.007786989212036133,GO:0051128,GO:0006996,35
DBSCAN,0.0,0.008486032485961914,GO:0051128,GO:0006996,35
HDBSCAN,0.0,0.0022170543670654297,GO:0051128,GO:0006996,35
K-Means,0.914861778372844,0.015289068222045898,GO:0042127,GO:0061024,47
Agglomerative,1.0,0.0012080669403076172,GO:0042127,GO:0061024,47
DBSCAN,0.0,0.02348613739013672,GO:0042127,GO:0061024,47
HDBSCAN,0.6428045296527036,0.002385854721069336,GO:0042127,GO:0061024,47
K-Means,1.0,0.0644540786743164,GO:0042127,GO:0006796,37
Agglomerative,1.0,0.0033698081970214844,GO:0042127,GO:0006796,37
DBSCAN,0.0,0.04660606384277344,GO:0042127,GO:0006796,37
HDBSCAN,0.8919883230619526,0.0023298263549804688,GO:0042127,GO:0006796,37
K-Means,0.9183531780470024,0.015172958374023438,GO:0042127,GO:0022607,49
Agglomerative,1.0,0.0015501976013183594,GO:0042127,GO:0022607,49
DBSCAN,0.0,0.06152915954589844,GO:0042127,GO:0022607,49
HDBSCAN,0.5806720935086621,0.0023458003997802734,GO:0042127,GO:0022607,49
K-Means,0.826192400970089,0.008793830871582031,GO:0042127,GO:0008104,45
Agglomerative,0.826192400970089,0.0012280941009521484,GO:0042127,GO:0008104,45
DBSCAN,0.0,0.03780794143676758,GO:0042127,GO:0008104,45
HDBSCAN,0.6665461774805711,0.002177000045776367,GO:0042127,GO:0008104,45
K-Means,1.0,0.016108036041259766,GO:0042127,GO:0097435,34
Agglomerative,1.0,0.002505064010620117,GO:0042127,GO:0097435,34
DBSCAN,0.0,0.07419228553771973,GO:0042127,GO:0097435,34
HDBSCAN,0.0,0.0014820098876953125,GO:0042127,GO:0097435,34
K-Means,1.0,0.008939981460571289,GO:0042127,GO:1901565,36
Agglomerative,1.0,0.003171205520629883,GO:0042127,GO:1901565,36
DBSCAN,0.0,0.06813478469848633,GO:0042127,GO:1901565,36
HDBSCAN,0.895429899302866,0.0016460418701171875,GO:0042127,GO:1901565,36
K-Means,1.0,0.08132624626159668,GO:0042127,GO:0098662,38
Agglomerative,1.0,0.003981828689575195,GO:0042127,GO:0098662,38
DBSCAN,0.0,0.016880035400390625,GO:0042127,GO:0098662,38
HDBSCAN,1.0,0.0067768096923828125,GO:0042127,GO:0098662,38
K-Means,0.16356877323420074,0.023868083953857422,GO:0042127,GO:0080135,36
Agglomerative,1.0,0.0012879371643066406,GO:0042127,GO:0080135,36
DBSCAN,0.0,0.019672632217407227,GO:0042127,GO:0080135,36
HDBSCAN,0.0,0.0037360191345214844,GO:0042127,GO:0080135,36
K-Means,1.0,0.03231191635131836,GO:0042127,GO:0006996,40
Agglomerative,1.0,0.0008552074432373047,GO:0042127,GO:0006996,40
DBSCAN,0.0,0.011976957321166992,GO:0042127,GO:0006996,40
HDBSCAN,0.6471450647858303,0.0019142627716064453,GO:0042127,GO:0006996,40
K-Means,1.0,0.024146080017089844,GO:0061024,GO:0006796,40
Agglomerative,0.8997429305912596,0.0019130706787109375,GO:0061024,GO:0006796,40
DBSCAN,0.0,0.011638641357421875,GO:0061024,GO:0006796,40
