Algorithm,p_within,p_between,ARI,NMI
louvain,0.1,0.1,-0.0008816284195514067,0.0247867085048875
louvain,0.2,0.1,0.01481059527200228,0.06146625834908957
louvain,0.2,0.2,-0.007026245091961149,0.026063625386229673
louvain,0.3,0.1,-0.00827178729689808,0.0056180048392684475
louvain,0.3,0.2,0.014260822945985793,0.029334982310943645
louvain,0.3,0.3,-0.005560561204788261,0.011968627171442547
louvain,0.4,0.1,0.029814373120398217,0.1014680474627729
louvain,0.4,0.2,-0.0062859056598912845,0.04650724911460284
louvain,0.4,0.3,0.016696048947423003,0.046969375650599554
louvain,0.4,0.4,-0.006209696680200621,0.027373777946619285
louvain,0.5,0.1,0.07674703283836287,0.2402300063428799
louvain,0.5,0.2,0.018551236749116608,0.058909533479636275
louvain,0.5,0.3,-0.0017436791630340018,0.014705075068527671
louvain,0.5,0.4,0.011226319482341936,0.03979630378430187
louvain,0.5,0.5,-0.004598210575884325,0.01053351927469687
louvain,0.6,0.1,0.07586224740614246,0.26064426176607225
louvain,0.6,0.2,0.02309162331457692,0.1409689729201151
louvain,0.6,0.3,-0.00490948143602332,0.01516141482098241
louvain,0.6,0.4,0.0062650986222092435,0.04945233975207169
louvain,0.6,0.5,-0.003902825306145536,0.012158783483651894
louvain,0.6,0.6,-0.008159782405802512,0.023421714887065168
louvain,0.7,0.1,0.10579031428494085,0.2899685382691246
louvain,0.7,0.2,-0.005450348989182726,0.04454986310194913
louvain,0.7,0.3,0.013122656668452063,0.03800469395626988
louvain,0.7,0.4,-0.0060583514906733275,0.044433590363201256
louvain,0.7,0.5,0.03522242207844506,0.08484830338466288
louvain,0.7,0.6,-0.0068389662027833,0.027033597348736657
louvain,0.7,0.7,-0.001632561150674135,0.011107655210702665
louvain,0.8,0.1,0.14500652926815422,0.35365393317180416
louvain,0.8,0.2,0.020979585249737757,0.10731392910873591
louvain,0.8,0.3,0.02388876959415933,0.049096022038168353
louvain,0.8,0.4,0.03310904624586137,0.10729851391041052
louvain,0.8,0.5,0.030489526283100896,0.05717640727566609
louvain,0.8,0.6,0.002766546073632688,0.02832656516125302
louvain,0.8,0.7,-0.008233218516340419,0.04563689887944979
louvain,0.8,0.8,0.0021052048419711363,0.05026220878807522
louvain,0.9,0.1,0.13805620940982954,0.32775415203919234
louvain,0.9,0.2,0.1639030000958497,0.23300616698039744
louvain,0.9,0.3,0.008961433829412706,0.018679271788866456
louvain,0.9,0.4,0.00975609756097561,0.04376843479541968
louvain,0.9,0.5,0.011254551473022179,0.04775329073407612
louvain,0.9,0.6,0.006895820072140887,0.032253464896373166
louvain,0.9,0.7,0.0007787728764532459,0.0056167737169776
louvain,0.9,0.8,0.02608524183779825,0.035494938927991465
louvain,0.9,0.9,-0.002198111878258419,0.03373296905475788
louvain,1.0,0.1,0.6786824114356743,0.5733430205210942
louvain,1.0,0.2,0.4157402505734957,0.3699690760245552
louvain,1.0,0.3,0.2663128693764323,0.2756988280866585
louvain,1.0,0.4,0.2845528455284553,0.286615980241069
louvain,1.0,0.5,0.15146417659377254,0.11517766215035334
