Algorithm,ARI Score,NMI,Sample size,Root0,Root1
girvan_newman,-0.01521933751119069,0.031874526018026345,42,GO:0051128,GO:0061024
louvain,0.4062180503787665,0.4776814898218255,42,GO:0051128,GO:0061024
spectral_clustering,0.43213296398891965,0.3307646452022205,42,GO:0051128,GO:0061024
girvan_newman,0.008362026561731432,0.05841552259583251,32,GO:0051128,GO:0006796
louvain,1.0,1.0,32,GO:0051128,GO:0006796
spectral_clustering,0.6795551193981028,0.6810843568535465,32,GO:0051128,GO:0006796
girvan_newman,-0.016788465336756864,0.02904940946942819,44,GO:0051128,GO:0022607
louvain,0.37073632739366974,0.4544209532979651,44,GO:0051128,GO:0022607
spectral_clustering,0.19380156254880176,0.34686050638824767,44,GO:0051128,GO:0022607
girvan_newman,-0.013046815042210284,0.03523210637352414,40,GO:0051128,GO:0008104
louvain,0.543448665925697,0.4896304537482858,40,GO:0051128,GO:0008104
spectral_clustering,0.5227600181580142,0.44145049784983703,40,GO:0051128,GO:0008104
girvan_newman,0.02875507442489851,0.07559528811669187,29,GO:0051128,GO:0097435
louvain,0.7039953339165937,0.7925129595888105,29,GO:0051128,GO:0097435
spectral_clustering,0.7732504492253898,0.7220729289739817,29,GO:0051128,GO:0097435
girvan_newman,0.013866231647634585,0.0632939042057923,31,GO:0051128,GO:1901565
louvain,1.0,1.0,31,GO:0051128,GO:1901565
spectral_clustering,0.8575063376946578,0.8543966938294643,31,GO:0051128,GO:1901565
girvan_newman,0.8787043418332184,0.8332588385020337,33,GO:0051128,GO:0098662
louvain,0.7555555555555555,0.8047739487149185,33,GO:0051128,GO:0098662
spectral_clustering,0.7555555555555555,0.8047739487149185,33,GO:0051128,GO:0098662
girvan_newman,0.013866231647634585,0.0632939042057923,31,GO:0051128,GO:0080135
louvain,0.5580753964556585,0.5597880223972251,31,GO:0051128,GO:0080135
spectral_clustering,0.3763621123218776,0.4169684912742121,31,GO:0051128,GO:0080135
girvan_newman,-0.0031847133757961785,0.04716465918777824,35,GO:0051128,GO:0006996
louvain,0.7779700115340253,0.6838523802057555,35,GO:0051128,GO:0006996
spectral_clustering,0.5121951219512195,0.5016239232684425,35,GO:0051128,GO:0006996
girvan_newman,-0.005113900511390051,0.03434099107608884,47,GO:0042127,GO:0061024
louvain,1.0,1.0,47,GO:0042127,GO:0061024
spectral_clustering,0.8775903068735138,0.8762684935406863,47,GO:0042127,GO:0061024
