"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG000961","P","Genes involved in Latent infection of Homo sapiens with Mycobacterium tuberculosis","31","null","Homo sapiens","MSigDB","3.69e+3"
"GEX001606","G","tuberculosis","38","null","Homo sapiens","GAD","201"
"GEX001607","G","tuberculosis tumor necrosis factor alpha","3","null","Homo sapiens","GAD","134"
"FAX002454","A","Genes up regulated in comparison of dendritic cells (DC) exposed to M. tuberculosis versus macrophages exposed to L. major.","187","null","Homo sapiens","MSigDB","84.5"
"FAX002504","A","Genes down regulated in comparison of macrophages exposed to L. major versus macrophages exposed to M. tuberculosis.","184","null","Homo sapiens","MSigDB","84.4"
"FAX002458","A","Genes down regulated in comparison of dendritic cells (DC) exposed to 50 worms/well B. malayi versus DC exposed to M. tuberculosis","191","null","Homo sapiens","MSigDB","80.4"
"FAX002436","A","Genes down regulated in comparison of dendritic cells (DC) versus DCs exposed to M.tuberculosis.","193","null","Homo sapiens","MSigDB","75.9"
"FAX002466","A","Genes down regulated in comparison of dendritic cells (DC) exposed to 5 worms/well B. malayi versus DC exposed to M. tuberculosis","192","null","Homo sapiens","MSigDB","61.1"
"FAX002482","A","Genes down regulated in comparison of dendritic cells (DC) exposed to L. donovani versus DCs exposed to M. tuberculosis.","190","null","Homo sapiens","MSigDB","59.7"
"FAX002484","A","Genes down regulated in comparison of macrophages exposed to L. donovani versus macrophages exposed to M. tuberculosis.","192","null","Homo sapiens","MSigDB","52.1"
"FAX002467","A","Genes up regulated in comparison of dendritic cells (DC) exposed to 5 worms/well B. malayi versus DC exposed to M. tuberculosis","191","null","Homo sapiens","MSigDB","39.7"
"FAX002437","A","Genes up regulated in comparison of dendritic cells (DC) versus DCs exposed to M.tuberculosis.","188","null","Homo sapiens","MSigDB","37.1"
"FAX002514","A","Genes down regulated in comparison of dendritic cells (DC) exposed to T. gondii versus DCs exposed to M. tuberculosis.","192","null","Homo sapiens","MSigDB","33.1"
"FAX002460","A","Genes down regulated in comparison of macrophages exposed to 50 worms/well B. malayi versus macrophages exposed to M. tuberculosis.","189","null","Homo sapiens","MSigDB","32.4"
"FAX002517","A","Genes up regulated in comparison of macrophages exposed to T. gondii versus macrophages exposed to M. tuberculosis.","186","null","Homo sapiens","MSigDB","28.6"
"FAX002516","A","Genes down regulated in comparison of macrophages exposed to T. gondii versus macrophages exposed to M. tuberculosis.","184","null","Homo sapiens","MSigDB","23.1"
"FAX002468","A","Genes down regulated in comparison of macrophages exposed to 5 worms/well B. malayi versus macrophages exposed to M. tuberculosis.","190","null","Homo sapiens","MSigDB","22.1"
"FAX002439","A","Genes up regulated in comparison of macrophages versus macrophages exposed to M. tuberculosis.","185","null","Homo sapiens","MSigDB","21.4"
"FAX002485","A","Genes up regulated in comparison of macrophages exposed to L. donovani versus macrophages exposed to M. tuberculosis.","186","null","Homo sapiens","MSigDB","18.9"
"FAX002483","A","Genes up regulated in comparison of dendritic cells (DC) exposed to L. donovani versus DCs exposed to M. tuberculosis.","185","null","Homo sapiens","MSigDB","18.0"
"FAX002459","A","Genes up regulated in comparison of dendritic cells (DC) exposed to 50 worms/well B. malayi versus DC exposed to M. tuberculosis","187","null","Homo sapiens","MSigDB","17.7"
"FAX002453","A","Genes down regulated in comparison of dendritic cells (DC) exposed to M. tuberculosis versus macrophages exposed to L. major.","191","null","Homo sapiens","MSigDB","16.5"
"FAX002498","A","Genes down regulated in comparison of dendritic cells (DC) exposed to L. major versus DCs exposed to M. tuberculosis.","189","null","Homo sapiens","MSigDB","16.0"
"FAX002461","A","Genes up regulated in comparison of macrophages exposed to 50 worms/well B. malayi versus macrophages exposed to M. tuberculosis.","190","null","Homo sapiens","MSigDB","15.0"
"FAX002501","A","Genes up regulated in comparison of macrophages exposed to L. major versus macrophages exposed to M. tuberculosis.","182","null","Homo sapiens","MSigDB","13.3"
"FAX002505","A","Genes up regulated in comparison of macrophages exposed to L. major versus macrophages exposed to M. tuberculosis.","186","null","Homo sapiens","MSigDB","12.7"
"FAX002499","A","Genes up regulated in comparison of dendritic cells (DC) exposed to L. major versus DCs exposed to M. tuberculosis.","185","null","Homo sapiens","MSigDB","11.9"
"FAX002438","A","Genes down regulated in comparison of macrophages versus macrophages exposed to M. tuberculosis.","190","null","Homo sapiens","MSigDB","9.98"
"FAX002469","A","Genes up regulated in comparison of macrophages exposed to 5 worms/well B. malayi versus macrophages exposed to M. tuberculosis.","191","null","Homo sapiens","MSigDB","5.13"
"FAX002515","A","Genes up regulated in comparison of dendritic cells (DC) exposed to T. gondii versus DCs exposed to M. tuberculosis.","186","null","Homo sapiens","MSigDB","5.01"
"FAX002500","A","Genes down regulated in comparison of macrophages exposed to L. major versus macrophages exposed to M. tuberculosis.","183","null","Homo sapiens","MSigDB","4.05"
"GEX001390","G","pulmonary tuberculosis","2","null","Homo sapiens","GAD","0.00"
"GEX167107","G","Tuberculosis","4","20694014.0","Homo sapiens","GWAS Catalog","0.00"
"MAX001452","A","Genes defining the Mycobacterium tuberculosis strain independent regulatory axis of the host macrophage cells.","63","null","Homo sapiens","MSigDB","0.00"
"MAX001453","A","Genes indentified by RNAi screen as regulating infection of THP 1 cells (macrophage) with Mycobacterium tuberculosis.","241","null","Homo sapiens","MSigDB","0.00"
