"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG000904","P","Genes involved in HIV Infection","188","null","Homo sapiens","MSigDB","4.33e+3"
"WIG000961","P","Genes involved in Latent infection of Homo sapiens with Mycobacterium tuberculosis","31","null","Homo sapiens","MSigDB","3.69e+3"
"WIG000644","P","Vibrio cholerae infection","54","null","Homo sapiens","MSigDB","2.25e+3"
"WIG000549","P","Leishmania infection","72","null","Homo sapiens","MSigDB","2.20e+3"
"WIG000511","P","Epithelial cell signaling in Helicobacter pylori infection","67","null","Homo sapiens","MSigDB","2.05e+3"
"WIG000008","P","Cellular roles of Anthrax toxin","17","null","Homo sapiens","MSigDB","1.21e+3"
"TAX000275","A","Genes annotated by the GO term GO:0006954. The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation,  extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages.","127","null","Homo sapiens","MSigDB","1.12e+3"
"WIG000585","P","Pathogenic Escherichia coli infection","57","null","Homo sapiens","MSigDB","938"
"MAX002967","A","Angiogenic markers up regulated in lymph endothelial cells upon infection with KSHV (Kaposi's sarcoma herpes virus).","162","null","Homo sapiens","MSigDB","922"
"GEX001476","G","sepsis","29","null","Homo sapiens","GAD","872"
"GEX000335","G","brucellosis","4","null","Homo sapiens","GAD","757"
"WIG001806","P","C. pneumoniae Infection in Atherosclerosis","33","null","Homo sapiens","Protein Lounge","662"
"FAX002415","A","Genes up regulated in comparison of peripheral blood mononuclear cells (PBMC) from healthy donors versus PBMCs from infanct with acute influenza infection.","168","null","Homo sapiens","MSigDB","607"
"FAX002763","A","Genes up regulated in comparison of peripheral blood mononuclear cells (PBMC) from patients with acute influenza infection versus PBMC from patients with acute S. pneumoniae infection.","159","null","Homo sapiens","MSigDB","585"
"TAX000154","A","Genes annotated by the GO term GO:0006952. Reactions,  triggered in response to the presence of a foreign body or the occurrence of an injury,  which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.","265","null","Homo sapiens","MSigDB","501"
"MAX003382","A","Up regulated at 8 h following infection of primary human foreskin fibroblasts with CMV","45","null","Homo sapiens","MSigDB","476"
"MAX002966","A","Angiogenic markers down regulated in lymph endothelial cells upon infection with KSHV (Kaposi's sarcoma herpes virus).","132","null","Homo sapiens","MSigDB","465"
"GEX001284","G","parvovirus b19 infection","3","null","Homo sapiens","GAD","384"
"WIG001666","P","Salmonella Infection","23","null","Homo sapiens","Protein Lounge","295"
"MAX003384","A","Up regulated at any timepoint following infection of primary human foreskin fibroblasts with CMV","118","null","Homo sapiens","MSigDB","281"
"FAX002414","A","Genes down regulated in comparison of peripheral blood mononuclear cells (PBMC) from healthy donors versus PBMCs from infanct with acute influenza infection.","176","null","Homo sapiens","MSigDB","220"
"FAX002758","A","Genes down regulated in comparison of peripheral blood mononuclear cells (PBMC) from patients with acute influenza infection versus PBMC from patients with acute E. coli infection.","151","null","Homo sapiens","MSigDB","220"
"FAX002766","A","Genes down regulated in comparison of peripheral blood mononuclear cells (PBMC) from healthy donors versus PBMC from patients with acute influenza infection.","153","null","Homo sapiens","MSigDB","218"
"WIG001734","P","Mechanism of Anthrax Toxins","20","null","Homo sapiens","Protein Lounge","215"
"FAX002761","A","Genes up regulated in comparison of peripheral blood mononuclear cells (PBMC) from patients with acute influenza infection versus PBMC from patients with acute S. aureus infection.","155","null","Homo sapiens","MSigDB","206"
"MAX000405","A","Genes down regulated in normal keratinocytes immortalized by infection with the high risk HPV31 (human papilloma virus) strain.","63","null","Homo sapiens","MSigDB","202"
"GEX001606","G","tuberculosis","38","null","Homo sapiens","GAD","201"
