"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000715","G","gallstones","7","null","Homo sapiens","GAD","452"
"GEX001360","G","primary sclerosing cholangitis","3","null","Homo sapiens","GAD","134"
"GEX000408","G","cholestasis,  drug induced hepatotoxicity","2","null","Homo sapiens","GAD","126"
"GEX000405","G","cholangitis,  sclerosing","7","null","Homo sapiens","GAD","82.2"
"GEX000407","G","cholestasis","3","null","Homo sapiens","GAD","59.7"
"GEX000406","G","cholelithiasis","5","null","Homo sapiens","GAD","53.8"
"GEX001020","G","liver cirrhosis,  biliary","23","null","Homo sapiens","GAD","20.9"
"GEX167229","G","Primary sclerosing cholangitis","2","21151127.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167049","G","Biliary atresia","4","20460270.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000233","G","biliary atresia","4","null","Homo sapiens","GAD","0.00"
"GEX167771","G","Sclerosing cholangitis and ulcerative colitis (combined)","2","22821403.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000713","G","gallbladder diseases","13","null","Homo sapiens","GAD","0.00"
"GEX167676","G","Cholelithiasis related traits in sickle cell anemia","2","22558097.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000714","G","gallbladder neoplasms","3","null","Homo sapiens","GAD","0.00"
