"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX002091","A","Top 20 genes whose down regulation correlated with gastrointestinal stromal tumors (GIST) and synovial sarcoma compared to other tumors.","20","null","Homo sapiens","MSigDB","297"
"GEX001539","G","stomach neoplasms","15","null","Homo sapiens","GAD","70.1"
"MAX002094","A","Top 20 genes whose up regulation correlated with gastrointestinal stromal tumors (GIST) compared to synovial sarcoma.","19","null","Homo sapiens","MSigDB","38.8"
"MAX001324","A","Genes up regulated in gastrointestinal stromal tumors (GIST) with PDGFRA [GeneID=5156] mutations.","48","null","Homo sapiens","MSigDB","24.6"
"GEX000657","G","esophageal neoplasms","11","null","Homo sapiens","GAD","10.2"
"GEX000483","G","colorectal neoplasms","14","null","Homo sapiens","GAD","9.31"
"MAX002093","A","Top 20 genes whose down regulation correlated with gastrointestinal stromal tumors (GIST) compared to synovial sarcoma.","18","null","Homo sapiens","MSigDB","8.82"
"MAX002092","A","Top 20 genes whose up regulation correlated with gastrointestinal stromal tumors (GIST) and synovial sarcoma compared to other tumors.","19","null","Homo sapiens","MSigDB","8.29"
"MAX002090","A","A cluster of genes specifically up regulated in gastrointestinal stromal tumors (GIST).","86","null","Homo sapiens","MSigDB","3.01"
"GEX000798","G","helicobacter infections|stomach neoplasms","2","null","Homo sapiens","GAD","0.00"
"GEX000714","G","gallbladder neoplasms","3","null","Homo sapiens","GAD","0.00"
"GEX000348","G","carcinoma,  hepatocellular","6","null","Homo sapiens","GAD","0.00"
"GEX000349","G","carcinoma,  hepatocellular|liver neoplasms","2","null","Homo sapiens","GAD","0.00"
"MAX001323","A","Genes down regulated in gastrointestinal stromal tumors (GIST) with PDGFRA [GeneID=5156] mutations.","5","null","Homo sapiens","MSigDB","0.00"
"GEX001266","G","pancreatic neoplasms","122","null","Homo sapiens","GAD","0.00"
"GEX000474","G","colonic neoplasms","4","null","Homo sapiens","GAD","0.00"
