"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG001344","P","Bisphosphonate Pathway,  Pharmacodynamics","17","null","Homo sapiens","PharmGKB","514"
"GEX001240","G","osteoporosis,  postmenopausal","3","null","Homo sapiens","GAD","134"
"GEX001237","G","osteomyelitis|unspecified osteomyelitis nos","2","null","Homo sapiens","GAD","126"
"GEX001241","G","osteoporosis,  postmenopausal; bone density; hormone disturbance","2","null","Homo sapiens","GAD","126"
"GEX001527","G","spondylarthropathies","2","null","Homo sapiens","GAD","126"
"GEX000104","G","ankylosing spondylitis","7","null","Homo sapiens","GAD","125"
"TAX000057","A","Genes annotated by the GO term GO:0046849. The continuous turnover of bone matrix and mineral that involves first,  an increase in resorption (osteoclastic activity) and later,  reactive bone formation (osteoblastic activity). The process of bone remodeling takes place in the adult skeleton at discrete foci. The process ensures the mechanical integrity of the skeleton throughout life and plays an important role in calcium homeostasis. An imbalance in the regulation of bone resorption and bone formation results in many of the metabolic bone diseases,  such as osteoporosis.","29","null","Homo sapiens","MSigDB","59.0"
"GEX166959","G","Ankylosing spondylitis","6","20062062.0","Homo sapiens","GWAS Catalog","48.2"
"MAX001483","A","Genes up regulated in response to hydrogen peroxide [PubChem=784] in CS B cells (Cockayne syndrome fibroblast,  CS) expressing ERCC6 [GeneID=2074] off a plasmid vector.","67","null","Homo sapiens","MSigDB","41.5"
"GEX000142","G","arthritis,  psoriatic","6","null","Homo sapiens","GAD","38.9"
"GEX001238","G","osteonecrosis","4","null","Homo sapiens","GAD","35.8"
"GEX000294","G","bone density; osteoporosis","4","null","Homo sapiens","GAD","35.8"
"GEX167406","G","Ankylosing spondylitis","10","21743469.0","Homo sapiens","GWAS Catalog","20.6"
"MAX001484","A","Genes down regulated in CS B cells (Cockayne syndrome fibroblast,  CS) with defficient ERCC6 [GeneID=2074] in response to hydrogen peroxide [PubChem=784].","16","null","Homo sapiens","MSigDB","17.3"
"GEX001528","G","spondylitis,  ankylosing","19","null","Homo sapiens","GAD","9.17"
"GEX001239","G","osteoporosis","74","null","Homo sapiens","GAD","4.70"
"MAX002083","A","Genes down regulated in Cockayne syndrome fibroblasts rescued by expression of ERCC6 [GeneID=2074] off a plasmid vector.","36","null","Homo sapiens","MSigDB","3.86"
"MAX002084","A","Genes up regulated in Cockayne syndrome fibroblasts rescued by expression of ERCC6 [GeneID=2074] off a plasmid vector.","22","null","Homo sapiens","MSigDB","2.52"
"GEX001452","G","rickets","1","null","Homo sapiens","GAD","0.00"
"GEX000295","G","bone density; spondylosis,  lumbar","2","null","Homo sapiens","GAD","0.00"
"GEX001233","G","osteitis deformans","3","null","Homo sapiens","GAD","0.00"
"GEX001214","G","obesity and osteoporosis","1","null","Homo sapiens","GAD","0.00"
"GEX167062","G","Osteoporosis","7","20548944.0","Homo sapiens","GWAS Catalog","0.00"
"GEX001469","G","scoliosis","4","null","Homo sapiens","GAD","0.00"
"GEX167243","G","Scoliosis","1","21216876.0","Homo sapiens","GWAS Catalog","0.00"
"GEX001075","G","marfan syndrome","1","null","Homo sapiens","GAD","0.00"
"GEX167545","G","Ankylosing spondylitis","3","22138694.0","Homo sapiens","GWAS Catalog","0.00"
"GEX001236","G","osteomyelitis","2","null","Homo sapiens","GAD","0.00"
