"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG001344","P","Bisphosphonate Pathway,  Pharmacodynamics","17","null","Homo sapiens","PharmGKB","514"
"GEX000451","G","cleft lip with cleft palate; cleft lip without cleft palate","4","null","Homo sapiens","GAD","79.8"
"GEX000453","G","cleft lip|cleft palate|tooth abnormalities","7","null","Homo sapiens","GAD","12.9"
"GEX000953","G","jaw abnormalities","4","null","Homo sapiens","GAD","0.00"
"GEX000449","G","cleft lip with cleft palate cleft lip without cleft palate","3","null","Homo sapiens","GAD","0.00"
"GAX000503","A","Secretory cell in lung's normal cell","74","30069046","Homo sapiens","CellMarker","0.00"
"GEX001206","G","nonsyndromic cleft lip with or without cleft palate","9","null","Homo sapiens","GAD","0.00"
"GEX000452","G","cleft lip|cleft palate","3","null","Homo sapiens","GAD","0.00"
"GEX000454","G","cleft palate","6","null","Homo sapiens","GAD","0.00"
"GEX000450","G","cleft lip with cleft palate cleft lip without cleft palate cleft palate","2","null","Homo sapiens","GAD","0.00"
