"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000145","G","arthritis,  rheumatoid|rheumatoid arthritis|anti tnf response","12","null","Homo sapiens","GAD","1.58e+3"
"GEX001448","G","rheumatoid arthritis","78","null","Homo sapiens","GAD","515"
"WIG001618","P","Pathogenesis of Rheumatoid Arthritis","53","null","Homo sapiens","Protein Lounge","343"
"GEX167048","G","Rheumatoid arthritis","29","20453842.0","Homo sapiens","GWAS Catalog","257"
"GEX000136","G","arthritis","8","null","Homo sapiens","GAD","235"
"GEX001377","G","psoriatic arthritis","10","null","Homo sapiens","GAD","169"
"GEX001449","G","rheumatoid arthritis thyroid disease,  autoimmune","2","null","Homo sapiens","GAD","126"
"GEX001049","G","lupus erythematosus; rheumatoid arthritis; sjogren's syndrome","1","null","Homo sapiens","GAD","126"
"GEX000138","G","arthritis lupus erythematosus","2","null","Homo sapiens","GAD","126"
"GEX166590","G","Rheumatoid arthritis","2","17982456.0","Homo sapiens","GWAS Catalog","126"
"GEX000139","G","arthritis lymphopenia nephritis,  lupus","5","null","Homo sapiens","GAD","124"
"GEX166844","G","Rheumatoid arthritis","6","19503088.0","Homo sapiens","GWAS Catalog","119"
"GEX166688","G","Rheumatoid arthritis","11","18794853.0","Homo sapiens","GWAS Catalog","107"
"GEX166524","G","Rheumatoid arthritis","2","17554300.0","Homo sapiens","GWAS Catalog","59.7"
"GEX166547","G","Rheumatoid arthritis","2","17804836.0","Homo sapiens","GWAS Catalog","59.7"
"GEX167047","G","Rheumatoid arthritis","5","20453841.0","Homo sapiens","GWAS Catalog","53.8"
"GEX000142","G","arthritis,  psoriatic","6","null","Homo sapiens","GAD","38.9"
"GEX000143","G","arthritis,  rheumatoid","98","null","Homo sapiens","GAD","30.4"
"GEX167304","G","Rheumatoid arthritis","5","21452313.0","Homo sapiens","GWAS Catalog","24.0"
"GEX167284","G","Celiac disease and Rheumatoid arthritis","14","21383967.0","Homo sapiens","GWAS Catalog","18.5"
"GEX167653","G","Response to tocilizumab in rheumatoid arthritis","7","22491018.0","Homo sapiens","GWAS Catalog","9.92"
"GEX167637","G","Rheumatoid arthritis","16","22446963.0","Homo sapiens","GWAS Catalog","8.08"
"GEX000955","G","juvenile idiopathic arthritis","3","null","Homo sapiens","GAD","0.00"
"GEX001048","G","lupus erythematosus; rheumatoid arthritis","3","null","Homo sapiens","GAD","0.00"
"GEX001555","G","systemic juvenile idiopathic arthritis","2","null","Homo sapiens","GAD","0.00"
"GEX000137","G","arthritis (juvenile idiopathic)","2","null","Homo sapiens","GAD","0.00"
"GEX000140","G","arthritis,  juvenile","3","null","Homo sapiens","GAD","0.00"
"GEX000141","G","arthritis,  juvenile rheumatoid","1","null","Homo sapiens","GAD","0.00"
"GEX000144","G","arthritis,  rheumatoid|rheumatoid arthritis","2","null","Homo sapiens","GAD","0.00"
"GEX166674","G","Rheumatoid arthritis","3","18668548.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167171","G","Psoriatic arthritis","3","20953186.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167326","G","Rheumatoid arthritis","3","21505073.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167368","G","Rheumatoid arthritis","5","21653640.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167606","G","Arthritis (juvenile idiopathic)","4","22354554.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167690","G","Response to TNF alpha inhibitors in rheumatoid arthritis","8","22569225.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167844","G","Rheumatoid arthritis","2","23028356.0","Homo sapiens","GWAS Catalog","0.00"
"GEX168047","G","Response to anti TNF treatment in rheumatoid arthritis","1","23555300.0","Homo sapiens","GWAS Catalog","0.00"
