"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"TAX000874","A","Genes annotated by the GO term GO:0044430. Any constituent part of the cytoskeleton,  a cellular scaffolding or skeleton that maintains cell shape,  enables some cell motion (using structures such as flagella and cilia),  and plays important roles in both intra cellular transport (e.g. the movement of vesicles and organelles) and cellular division. Includes constituent parts of intermediate filaments,  microfilaments,  microtubules,  and the microtrabecular lattice.","230","null","Homo sapiens","MSigDB","1.03e+3"
"GEX167782","G","Thyrotoxic hypokalemic periodic paralysis","2","22863731.0","Homo sapiens","GWAS Catalog","126"
"GEX000639","G","eosinophilia","2","null","Homo sapiens","GAD","126"
"GEX000695","G","fibromyalgia","3","null","Homo sapiens","GAD","59.7"
"WIG001758","P","Muscular Dystrophies and Dystrophin Glycoprotein Complex","3","null","Homo sapiens","Protein Lounge","53.8"
"GEX000608","G","dupuytren contracture","13","null","Homo sapiens","GAD","24.1"
"MAX003264","A","Genes up regulated in hepatocellular carcinoma (HCC) with intra hepatic metastasis compared to the non metastatic tumors.","25","null","Homo sapiens","MSigDB","7.16"
"GEX000935","G","intra abdominal fat","11","null","Homo sapiens","GAD","0.00"
"GEX001145","G","muscular diseases","1","null","Homo sapiens","GAD","0.00"
"GAX000622","A","Endothelial cell in fetal gonad's normal cell","204","28457750","Homo sapiens","CellMarker","0.00"
"GAX000651","A","Red blood cell (erythrocyte) in bone marrow's normal cell","2","29915358","Mus musculus","CellMarker","0.00"
