"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"TAX000794","A","Genes annotated by the GO term GO:0000041. The directed movement of transition metal ions into,  out of,  within or between cells. A transition metal is an element whose atom has an incomplete d subshell of extranuclear electrons,  or which gives rise to a cation or cations with an incomplete d subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium,  manganese,  iron,  copper,  cobalt,  nickel,  molybdenum and silver.","12","null","Homo sapiens","MSigDB","430"
"TAX001433","A","Genes annotated by the GO term GO:0046914. Interacting selectively with a transition metal ions; a transition metal is an element whose atom has an incomplete d subshell of extranuclear electrons,  or which gives rise to a cation or cations with an incomplete d subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium,  manganese,  iron,  copper,  cobalt,  nickel,  molybdenum and silver.","109","null","Homo sapiens","MSigDB","131"
"TAX001434","A","Genes annotated by the GO term GO:0046915. Catalysis of the transfer of transition metal ions from one side of a membrane to the other. A transition metal is an element whose atom has an incomplete d subshell of extranuclear electrons,  or which gives rise to a cation or cations with an incomplete d subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium,  manganese,  iron,  copper,  cobalt,  nickel,  molybdenum and silver.","10","null","Homo sapiens","MSigDB","104"
"GEX000451","G","cleft lip with cleft palate; cleft lip without cleft palate","4","null","Homo sapiens","GAD","79.8"
"FAX000245","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif CATTGTYY which matches annotation for SOX9: SRY (sex determining region Y) box 9 (campomelic dysplasia,  autosomal sex reversal)","337","null","Homo sapiens","MSigDB","17.4"
"FAX000733","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif NNNNAACAATRGNN which matches annotation for SOX9: SRY (sex determining region Y) box 9 (campomelic dysplasia,  autosomal sex reversal)","224","null","Homo sapiens","MSigDB","16.4"
"GEX000453","G","cleft lip|cleft palate|tooth abnormalities","7","null","Homo sapiens","GAD","12.9"
"GEX000953","G","jaw abnormalities","4","null","Homo sapiens","GAD","0.00"
"GAX000687","A","Inflammatory monocyte in blood's normal cell","2","29217582","Mus musculus","CellMarker","0.00"
"GEX001207","G","noonan syndrome","1","null","Homo sapiens","GAD","0.00"
"GEX000449","G","cleft lip with cleft palate cleft lip without cleft palate","3","null","Homo sapiens","GAD","0.00"
"GEX000998","G","leukemia; noonan syndrome","1","null","Homo sapiens","GAD","0.00"
"GAX000503","A","Secretory cell in lung's normal cell","74","30069046","Homo sapiens","CellMarker","0.00"
"GEX001206","G","nonsyndromic cleft lip with or without cleft palate","9","null","Homo sapiens","GAD","0.00"
"GEX000452","G","cleft lip|cleft palate","3","null","Homo sapiens","GAD","0.00"
"GAX000449","A","Late enterocyte precursor cell in intestinal crypt's normal cell","12","26287467","Mus musculus","CellMarker","0.00"
"GEX000454","G","cleft palate","6","null","Homo sapiens","GAD","0.00"
"GEX000450","G","cleft lip with cleft palate cleft lip without cleft palate cleft palate","2","null","Homo sapiens","GAD","0.00"
