"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000145","G","arthritis,  rheumatoid|rheumatoid arthritis|anti tnf response","12","null","Homo sapiens","GAD","1.58e+3"
"TAX000874","A","Genes annotated by the GO term GO:0044430. Any constituent part of the cytoskeleton,  a cellular scaffolding or skeleton that maintains cell shape,  enables some cell motion (using structures such as flagella and cilia),  and plays important roles in both intra cellular transport (e.g. the movement of vesicles and organelles) and cellular division. Includes constituent parts of intermediate filaments,  microfilaments,  microtubules,  and the microtrabecular lattice.","230","null","Homo sapiens","MSigDB","1.03e+3"
"GEX001448","G","rheumatoid arthritis","78","null","Homo sapiens","GAD","515"
"WIG001344","P","Bisphosphonate Pathway,  Pharmacodynamics","17","null","Homo sapiens","PharmGKB","514"
"TAX000794","A","Genes annotated by the GO term GO:0000041. The directed movement of transition metal ions into,  out of,  within or between cells. A transition metal is an element whose atom has an incomplete d subshell of extranuclear electrons,  or which gives rise to a cation or cations with an incomplete d subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium,  manganese,  iron,  copper,  cobalt,  nickel,  molybdenum and silver.","12","null","Homo sapiens","MSigDB","430"
"GEX001445","G","rheumatic diseases","3","null","Homo sapiens","GAD","384"
"WIG001618","P","Pathogenesis of Rheumatoid Arthritis","53","null","Homo sapiens","Protein Lounge","343"
"GEX167048","G","Rheumatoid arthritis","29","20453842.0","Homo sapiens","GWAS Catalog","257"
"GEX000136","G","arthritis","8","null","Homo sapiens","GAD","235"
"GEX001377","G","psoriatic arthritis","10","null","Homo sapiens","GAD","169"
"GEX001240","G","osteoporosis,  postmenopausal","3","null","Homo sapiens","GAD","134"
"TAX001433","A","Genes annotated by the GO term GO:0046914. Interacting selectively with a transition metal ions; a transition metal is an element whose atom has an incomplete d subshell of extranuclear electrons,  or which gives rise to a cation or cations with an incomplete d subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium,  manganese,  iron,  copper,  cobalt,  nickel,  molybdenum and silver.","109","null","Homo sapiens","MSigDB","131"
"GEX001449","G","rheumatoid arthritis thyroid disease,  autoimmune","2","null","Homo sapiens","GAD","126"
"GEX166590","G","Rheumatoid arthritis","2","17982456.0","Homo sapiens","GWAS Catalog","126"
"GEX001397","G","radiographically evident osteoarthritis","2","null","Homo sapiens","GAD","126"
"GEX001049","G","lupus erythematosus; rheumatoid arthritis; sjogren's syndrome","1","null","Homo sapiens","GAD","126"
"GEX167914","G","Gout","2","23263486.0","Homo sapiens","GWAS Catalog","126"
"GEX001237","G","osteomyelitis|unspecified osteomyelitis nos","2","null","Homo sapiens","GAD","126"
"GEX001241","G","osteoporosis,  postmenopausal; bone density; hormone disturbance","2","null","Homo sapiens","GAD","126"
"GEX167782","G","Thyrotoxic hypokalemic periodic paralysis","2","22863731.0","Homo sapiens","GWAS Catalog","126"
"GEX000639","G","eosinophilia","2","null","Homo sapiens","GAD","126"
"GEX001527","G","spondylarthropathies","2","null","Homo sapiens","GAD","126"
"GEX000138","G","arthritis lupus erythematosus","2","null","Homo sapiens","GAD","126"
"GEX000104","G","ankylosing spondylitis","7","null","Homo sapiens","GAD","125"
"GEX000139","G","arthritis lymphopenia nephritis,  lupus","5","null","Homo sapiens","GAD","124"
"GEX166844","G","Rheumatoid arthritis","6","19503088.0","Homo sapiens","GWAS Catalog","119"
"GEX001234","G","osteoarthritis","22","null","Homo sapiens","GAD","110"
"GEX166688","G","Rheumatoid arthritis","11","18794853.0","Homo sapiens","GWAS Catalog","107"
"TAX001434","A","Genes annotated by the GO term GO:0046915. Catalysis of the transfer of transition metal ions from one side of a membrane to the other. A transition metal is an element whose atom has an incomplete d subshell of extranuclear electrons,  or which gives rise to a cation or cations with an incomplete d subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium,  manganese,  iron,  copper,  cobalt,  nickel,  molybdenum and silver.","10","null","Homo sapiens","MSigDB","104"
"GEX000451","G","cleft lip with cleft palate; cleft lip without cleft palate","4","null","Homo sapiens","GAD","79.8"
"GEX000695","G","fibromyalgia","3","null","Homo sapiens","GAD","59.7"
"GEX166524","G","Rheumatoid arthritis","2","17554300.0","Homo sapiens","GWAS Catalog","59.7"
"GEX167012","G","Knee osteoarthritis","3","20305777.0","Homo sapiens","GWAS Catalog","59.7"
"GEX166651","G","Knee osteoarthritis","3","18471798.0","Homo sapiens","GWAS Catalog","59.7"
"GEX166547","G","Rheumatoid arthritis","2","17804836.0","Homo sapiens","GWAS Catalog","59.7"
"TAX000057","A","Genes annotated by the GO term GO:0046849. The continuous turnover of bone matrix and mineral that involves first,  an increase in resorption (osteoclastic activity) and later,  reactive bone formation (osteoblastic activity). The process of bone remodeling takes place in the adult skeleton at discrete foci. The process ensures the mechanical integrity of the skeleton throughout life and plays an important role in calcium homeostasis. An imbalance in the regulation of bone resorption and bone formation results in many of the metabolic bone diseases,  such as osteoporosis.","29","null","Homo sapiens","MSigDB","59.0"
"GEX167047","G","Rheumatoid arthritis","5","20453841.0","Homo sapiens","GWAS Catalog","53.8"
"WIG001758","P","Muscular Dystrophies and Dystrophin Glycoprotein Complex","3","null","Homo sapiens","Protein Lounge","53.8"
"GEX166959","G","Ankylosing spondylitis","6","20062062.0","Homo sapiens","GWAS Catalog","48.2"
"GEX000969","G","knee osteoarthritis","7","null","Homo sapiens","GAD","48.2"
"MAX001483","A","Genes up regulated in response to hydrogen peroxide [PubChem=784] in CS B cells (Cockayne syndrome fibroblast,  CS) expressing ERCC6 [GeneID=2074] off a plasmid vector.","67","null","Homo sapiens","MSigDB","41.5"
"GEX000142","G","arthritis,  psoriatic","6","null","Homo sapiens","GAD","38.9"
"GEX001238","G","osteonecrosis","4","null","Homo sapiens","GAD","35.8"
"GEX000294","G","bone density; osteoporosis","4","null","Homo sapiens","GAD","35.8"
"GEX000143","G","arthritis,  rheumatoid","98","null","Homo sapiens","GAD","30.4"
"GEX000608","G","dupuytren contracture","13","null","Homo sapiens","GAD","24.1"
"GEX167304","G","Rheumatoid arthritis","5","21452313.0","Homo sapiens","GWAS Catalog","24.0"
"GEX167406","G","Ankylosing spondylitis","10","21743469.0","Homo sapiens","GWAS Catalog","20.6"
"GEX167284","G","Celiac disease and Rheumatoid arthritis","14","21383967.0","Homo sapiens","GWAS Catalog","18.5"
"FAX000245","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif CATTGTYY which matches annotation for SOX9: SRY (sex determining region Y) box 9 (campomelic dysplasia,  autosomal sex reversal)","337","null","Homo sapiens","MSigDB","17.4"
"MAX001484","A","Genes down regulated in CS B cells (Cockayne syndrome fibroblast,  CS) with defficient ERCC6 [GeneID=2074] in response to hydrogen peroxide [PubChem=784].","16","null","Homo sapiens","MSigDB","17.3"
"FAX000733","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif NNNNAACAATRGNN which matches annotation for SOX9: SRY (sex determining region Y) box 9 (campomelic dysplasia,  autosomal sex reversal)","224","null","Homo sapiens","MSigDB","16.4"
"GEX000453","G","cleft lip|cleft palate|tooth abnormalities","7","null","Homo sapiens","GAD","12.9"
"GEX167653","G","Response to tocilizumab in rheumatoid arthritis","7","22491018.0","Homo sapiens","GWAS Catalog","9.92"
"GEX001528","G","spondylitis,  ankylosing","19","null","Homo sapiens","GAD","9.17"
"GEX167637","G","Rheumatoid arthritis","16","22446963.0","Homo sapiens","GWAS Catalog","8.08"
"MAX003264","A","Genes up regulated in hepatocellular carcinoma (HCC) with intra hepatic metastasis compared to the non metastatic tumors.","25","null","Homo sapiens","MSigDB","7.16"
"GEX001239","G","osteoporosis","74","null","Homo sapiens","GAD","4.70"
"MAX002083","A","Genes down regulated in Cockayne syndrome fibroblasts rescued by expression of ERCC6 [GeneID=2074] off a plasmid vector.","36","null","Homo sapiens","MSigDB","3.86"
"GEX000758","G","gout","18","null","Homo sapiens","GAD","2.93"
"MAX002084","A","Genes up regulated in Cockayne syndrome fibroblasts rescued by expression of ERCC6 [GeneID=2074] off a plasmid vector.","22","null","Homo sapiens","MSigDB","2.52"
"GEX000935","G","intra abdominal fat","11","null","Homo sapiens","GAD","0.00"
"GEX000953","G","jaw abnormalities","4","null","Homo sapiens","GAD","0.00"
"GEX000955","G","juvenile idiopathic arthritis","3","null","Homo sapiens","GAD","0.00"
"GEX001145","G","muscular diseases","1","null","Homo sapiens","GAD","0.00"
"GEX000137","G","arthritis (juvenile idiopathic)","2","null","Homo sapiens","GAD","0.00"
"GEX001452","G","rickets","1","null","Homo sapiens","GAD","0.00"
"GEX167326","G","Rheumatoid arthritis","3","21505073.0","Homo sapiens","GWAS Catalog","0.00"
"GAX000622","A","Endothelial cell in fetal gonad's normal cell","204","28457750","Homo sapiens","CellMarker","0.00"
"GAX000687","A","Inflammatory monocyte in blood's normal cell","2","29217582","Mus musculus","CellMarker","0.00"
"GEX000295","G","bone density; spondylosis,  lumbar","2","null","Homo sapiens","GAD","0.00"
"GEX001048","G","lupus erythematosus; rheumatoid arthritis","3","null","Homo sapiens","GAD","0.00"
