"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000145","G","arthritis,  rheumatoid|rheumatoid arthritis|anti tnf response","12","null","Homo sapiens","GAD","1.58e+3"
"GEX001445","G","rheumatic diseases","3","null","Homo sapiens","GAD","384"
"GEX001397","G","radiographically evident osteoarthritis","2","null","Homo sapiens","GAD","126"
"GEX167914","G","Gout","2","23263486.0","Homo sapiens","GWAS Catalog","126"
"GEX001234","G","osteoarthritis","22","null","Homo sapiens","GAD","110"
"GEX000695","G","fibromyalgia","3","null","Homo sapiens","GAD","59.7"
"GEX167012","G","Knee osteoarthritis","3","20305777.0","Homo sapiens","GWAS Catalog","59.7"
"GEX166651","G","Knee osteoarthritis","3","18471798.0","Homo sapiens","GWAS Catalog","59.7"
"GEX000969","G","knee osteoarthritis","7","null","Homo sapiens","GAD","48.2"
"GEX000143","G","arthritis,  rheumatoid","98","null","Homo sapiens","GAD","30.4"
"GEX000758","G","gout","18","null","Homo sapiens","GAD","2.93"
"GEX000137","G","arthritis (juvenile idiopathic)","2","null","Homo sapiens","GAD","0.00"
"GEX000144","G","arthritis,  rheumatoid|rheumatoid arthritis","2","null","Homo sapiens","GAD","0.00"
"GEX000140","G","arthritis,  juvenile","3","null","Homo sapiens","GAD","0.00"
"GEX001446","G","rheumatic fever","2","null","Homo sapiens","GAD","0.00"
"GEX167606","G","Arthritis (juvenile idiopathic)","4","22354554.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000141","G","arthritis,  juvenile rheumatoid","1","null","Homo sapiens","GAD","0.00"
"GEX001235","G","osteoarthritis,  knee","4","null","Homo sapiens","GAD","0.00"
"GEX167751","G","Osteoarthritis","5","22763110.0","Homo sapiens","GWAS Catalog","0.00"
