"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX001170","G","neoplasms","34","null","Homo sapiens","GAD","400"
"GEX000024","G","adenocarcinoma|carcinoma,  squamous cell|deglutition disorders|head and neck neoplasms|radiodermatitis","2","null","Homo sapiens","GAD","126"
"GEX000984","G","leiomyoma|uterine neoplasms","2","null","Homo sapiens","GAD","126"
"GEX000597","G","dna damage|lung neoplasms","2","null","Homo sapiens","GAD","126"
"GEX001099","G","meningeal neoplasms|meningioma","13","null","Homo sapiens","GAD","104"
"GEX001539","G","stomach neoplasms","15","null","Homo sapiens","GAD","70.1"
"GEX001085","G","melanoma|nevus|skin neoplasms|sunburn","3","null","Homo sapiens","GAD","59.7"
"GEX000632","G","endometrial neoplasms","4","null","Homo sapiens","GAD","35.8"
"GEX001571","G","testicular neoplasms","8","null","Homo sapiens","GAD","22.9"
"GEX000657","G","esophageal neoplasms","11","null","Homo sapiens","GAD","10.2"
"GEX000483","G","colorectal neoplasms","14","null","Homo sapiens","GAD","9.31"
"GEX001040","G","lung neoplasms","14","null","Homo sapiens","GAD","2.05"
"GEX000780","G","head and neck neoplasms","5","null","Homo sapiens","GAD","0.00"
"GEX001250","G","ovarian neoplasms","8","null","Homo sapiens","GAD","0.00"
"GEX000798","G","helicobacter infections|stomach neoplasms","2","null","Homo sapiens","GAD","0.00"
"GEX001266","G","pancreatic neoplasms","122","null","Homo sapiens","GAD","0.00"
"GEX000349","G","carcinoma,  hepatocellular|liver neoplasms","2","null","Homo sapiens","GAD","0.00"
"GEX000352","G","carcinoma,  squamous cell|mouth neoplasms","2","null","Homo sapiens","GAD","0.00"
"GEX001371","G","prostatic neoplasms","156","null","Homo sapiens","GAD","0.00"
"GEX000474","G","colonic neoplasms","4","null","Homo sapiens","GAD","0.00"
"GEX001086","G","melanoma|skin neoplasms","2","null","Homo sapiens","GAD","0.00"
"GEX001582","G","thyroid neoplasms","4","null","Homo sapiens","GAD","0.00"
"GEX001625","G","urinary bladder neoplasms","10","null","Homo sapiens","GAD","0.00"
"GEX001166","G","nasopharyngeal neoplasms","8","null","Homo sapiens","GAD","0.00"
"GEX000714","G","gallbladder neoplasms","3","null","Homo sapiens","GAD","0.00"
