"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX000649","A","Clusters 1 and 2: genes up regulated in B2264 19/3 cells (primary B lymphocytes) within 30 60 min after activation of LMP1 (an oncogene encoded by Epstein Barr virus,  EBV).","64","null","Homo sapiens","MSigDB","431"
"MAX000127","A","Gene up regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","99","null","Homo sapiens","MSigDB","231"
"MAX000650","A","Cluster 4: genes down regulated in B2264 19/3 cells (primary B lymphocytes) within 60 180 min after activation of LMP1 (an oncogene encoded by Epstein Barr virus,  EBV).","31","null","Homo sapiens","MSigDB","219"
"MAX003163","A","Genes up regulated in the Ad/AH cells (adenocarcinoma) engineered to stably express the Epstein Barr virus (EBV) gene EBNA1.","108","null","Homo sapiens","MSigDB","52.3"
"MAX000651","A","Cluster 3: genes up regulated in B2264 19/3 cells (primary B lymphocytes) within 60 180 min after activation of LMP1 (an oncogene encoded by Epstein Barr virus,  EBV).","53","null","Homo sapiens","MSigDB","32.9"
"MAX000126","A","Gene down regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","64","null","Homo sapiens","MSigDB","13.1"
"GEX167951","G","Epstein Barr virus immune response (EBNA 1)","7","23326239.0","Homo sapiens","GWAS Catalog","12.2"
"MAX002615","A","Genes up regulated in nasopharyngeal carcinoma (NPC) positive for LMP1 [GeneID=9260],  a latent gene of Epstein Barr virus (EBV).","376","null","Homo sapiens","MSigDB","10.1"
"MAX003162","A","Genes down regulated in the Ad/AH cells (adenocarcinoma) engineered to stably express the Epstein Barr virus (EBV) gene EBNA1.","46","null","Homo sapiens","MSigDB","4.06"
"MAX002614","A","Genes down regulated in nasopharyngeal carcinoma (NPC) positive for LMP1 [GeneID=9260],  a latent gene of Epstein Barr virus (EBV).","159","null","Homo sapiens","MSigDB","1.47"
"MAX002611","A","Genes whose reduced expression in nasopharyngeal carinoma (NPC) correlated most with the increased expression of EBNA1 [GeneID=3783774],  a latent gene of Epstein Barr virus (EBV).","142","null","Homo sapiens","MSigDB","0.00"
"GEX000644","G","epstein barr virus infection","1","null","Homo sapiens","GAD","0.00"
"GAX000538","A","Macrophage in kidney's normal cell","94","29622724","Mus musculus","CellMarker","0.00"
