"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX002595","A","The 'CLASS 11' set of pro  and anti inflammatory cytokines whose expression identifies stage I lung adenocarcinoma patients with poor prognosis.","9","null","Homo sapiens","MSigDB","1.69e+3"
"MAX000647","A","The lung adenocarcinoma TSP (tumor sequencing project) genes bearing recurrent somatic mutations.","6","null","Homo sapiens","MSigDB","623"
"MAX001651","A","Genes with increased copy number that correlates with increased expression across six different lung adenocarcinoma cell lines.","171","null","Homo sapiens","MSigDB","597"
"MAX000648","A","The lung adenocarcinoma TSP (tumor sequencing project) genes that were found significantly mutated by at least one method.","26","null","Homo sapiens","MSigDB","426"
"GEX000725","G","gastric cardia adenocarcinoma and esophageal squamous cell carcinoma","3","null","Homo sapiens","GAD","384"
"MAX003386","A","Genes up regulated in A549 cells (lung adenocarcinoma) upon SKIL [GeneID=6498] knockdown by RNAi.","19","null","Homo sapiens","MSigDB","248"
"MAX000999","A","Genes up regulated in pancreatic ductal adenocarcinoma (PDAC) identified in a meta analysis across four independent studies.","342","null","Homo sapiens","MSigDB","192"
"MAX003385","A","Genes down regulated in A549 cells (lung adenocarcinoma) upon SKIL [GeneID=6498] knockdown by RNAi.","9","null","Homo sapiens","MSigDB","156"
"GEX000024","G","adenocarcinoma|carcinoma,  squamous cell|deglutition disorders|head and neck neoplasms|radiodermatitis","2","null","Homo sapiens","GAD","126"
"GEX000719","G","gastric adenocarcinoma","2","null","Homo sapiens","GAD","126"
"GEX167109","G","Lung adenocarcinoma","2","20700438.0","Homo sapiens","GWAS Catalog","126"
"MAX000435","A","Protein profiles associated with survival in lung adenocarcinoma.","25","null","Homo sapiens","MSigDB","109"
"MAX000646","A","The lung adenocarcinoma TSP (tumor sequencing project) genes with significantly higher frequencies of nonsense,  splice site,  and frame shift mutations.","12","null","Homo sapiens","MSigDB","86.8"
"MAX002062","A","14 candidate differentiation markers in lung adenocarcinoma cells,  noncancerous lung cells and peripheral blood cells.","13","null","Homo sapiens","MSigDB","76.0"
"MAX003030","A","Up regulated genes specific to esophageal adenocarcinoma (EAC) relative to normal tissue.","114","null","Homo sapiens","MSigDB","65.0"
"GEX000652","G","esophageal adenocarcinoma","3","null","Homo sapiens","GAD","59.7"
"MAX003163","A","Genes up regulated in the Ad/AH cells (adenocarcinoma) engineered to stably express the Epstein Barr virus (EBV) gene EBNA1.","108","null","Homo sapiens","MSigDB","52.3"
"MAX000998","A","Genes down regulated in pancreatic ductal adenocarcinoma (PDAC) identified in a meta analysis across four independent studies.","198","null","Homo sapiens","MSigDB","46.0"
"FEX001931","G","Lung Rohrbeck08 20genes Adenocarcinoma","18","18992152.0","Homo sapiens","GeneSigDB","43.8"
"GEX001031","G","lung adenocarcinoma","6","null","Homo sapiens","GAD","37.8"
"MAX000644","A","The lung adenocarcinoma TSP (tumor sequencing project) genes mutations in which show positive correlation with the  higher overall mutation rate.","20","null","Homo sapiens","MSigDB","31.7"
"GEX166909","G","Lung adenocarcinoma","5","19836008.0","Homo sapiens","GWAS Catalog","29.4"
"MAX000034","A","Down regulated genes whose expression correlates with copy number losses in pancreatic adenocarcinoma cell lines and primary tumor specimens.","221","null","Homo sapiens","MSigDB","15.8"
"MAX000645","A","The lung adenocarcinoma TSP (tumor sequencing project) genes showing strong correlation between DNA copy number variation and gene expression.","94","null","Homo sapiens","MSigDB","13.7"
"MAX000035","A","Up regulated genes whose expression correlates with copy number gains in pancreatic adenocarcinoma cell lines and primary tumor specimens.","266","null","Homo sapiens","MSigDB","12.7"
"MAX002061","A","Genes up regulated in lung adenocarcinoma cell lines and not expressed in non cancerous lung epithelial cells.","8","null","Homo sapiens","MSigDB","9.92"
"MAX000720","A","Genes that distinguish normal from cancer (lung adenocarcinoma) samples and smokers from non smoking subjects.","77","null","Homo sapiens","MSigDB","7.84"
"MAX003029","A","Down regulated genes specific to esophageal adenocarcinoma (EAC) relative to normal tissue.","97","null","Homo sapiens","MSigDB","6.79"
"MAX001285","A","Adenocarcinoma metastatic program genes up regulated in A549 and H2126 cells (lung cancer) lacking functional STK11 [GeneID=6794] but down regulated by the normal gene.","26","null","Homo sapiens","MSigDB","5.30"
"MAX002801","A","Putative metastasis genes: up regulated in metastatic cell lines LM2 (lung) and BoM2 (bone) relative to the parental MDA MB 231 line (breast adenocarcinoma).","100","null","Homo sapiens","MSigDB","5.21"
"MAX003162","A","Genes down regulated in the Ad/AH cells (adenocarcinoma) engineered to stably express the Epstein Barr virus (EBV) gene EBNA1.","46","null","Homo sapiens","MSigDB","4.06"
"MAX003019","A","Genes down regulated in esophageal adenocarcinoma (EAC) and Barret's esophagus (BE) relative to normal esophagi.","37","null","Homo sapiens","MSigDB","2.64"
"GEX000023","G","adenocarcinoma of the lung","2","null","Homo sapiens","GAD","0.00"
"GEX000724","G","gastric cardia adenocarcinoma","1","null","Homo sapiens","GAD","0.00"
"GEX167151","G","Lung adenocarcinoma","2","20871597.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167763","G","Lung adenocarcinoma","4","22797724.0","Homo sapiens","GWAS Catalog","0.00"
"MAX003020","A","Genes up regulated in esophageal adenocarcinoma (EAC) and Barret's esophagus (BE) relative to normal esophagi.","26","null","Homo sapiens","MSigDB","0.00"
"MAX003028","A","Candidate progression biomarkers up regulated in transition from non tumor risk associated to tumor risk associated Barrett's esophagus and then to esophageal adenocarcinoma (EAC).","8","null","Homo sapiens","MSigDB","0.00"
