"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX003074","A","Down regulated genes characteristic for autonomous thyroid adenoma.","47","null","Homo sapiens","MSigDB","32.9"
"MAX000388","A","Genes identified by subtractive hybridization comparing malignant and benign components of a hepatocellular carcinoma (HCC) in a pre existing liver adenoma in a morphologically normal liver.","32","null","Homo sapiens","MSigDB","25.0"
"MAX000777","A","Genes down regulated in follicular thyroid adenoma (FTA) compared to other thyroid tumors.","65","null","Homo sapiens","MSigDB","16.4"
"MAX002491","A","Genes down regulated in colorectal adenoma compared to normal mucosa samples.","268","null","Homo sapiens","MSigDB","11.1"
"MAX002494","A","Genes up regulated in colorectal adenoma compared to normal mucosa samples.","130","null","Homo sapiens","MSigDB","7.20"
"MAX003110","A","Up regulated genes in pediatric adrenocortical carcinoma (ACC) compared to the adenoma (ACA) tumors.","19","null","Homo sapiens","MSigDB","2.55"
"MAX003075","A","Up regulated genes characteristic for autonomous thyroid adenoma.","68","null","Homo sapiens","MSigDB","2.34"
"MAX003109","A","Down regulated genes in pediatric adrenocortical carcinoma (ACC) compared to the adenoma (ACA) tumors.","23","null","Homo sapiens","MSigDB","1.68"
"MAX000778","A","Genes up regulated in follicular thyroid adenoma (FTA) compared to other thyroid tumors.","68","null","Homo sapiens","MSigDB","0.831"
"MAX002492","A","A selection of genes whose expression displayed significant negative correlation with size of colorectal adenoma.","13","null","Homo sapiens","MSigDB","0.00"
"MAX002493","A","A selection of genes whose expression displayed significant positive correlation with size of colorectal adenoma.","15","null","Homo sapiens","MSigDB","0.00"
