"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX000632","A","Genes up regulated in HT1080 cells (fibrosarcoma) by treatment with interferon alpha for 6 h.","73","null","Homo sapiens","MSigDB","1.44e+3"
"MAX000634","A","Genes up regulated in HT1080 (fibrosarcoma) cells by treatment with interferon beta for 6 h.","100","null","Homo sapiens","MSigDB","993"
"MAX000636","A","Genes up regulated in HT1080 (fibrosarcoma) cells by treatment with interferon gamma for 6 h.","70","null","Homo sapiens","MSigDB","504"
"MAX002474","A","Genes linked to the ECM maintenance and angiogenesis that were changed in HT1080 cells (fibrosarcoma) over expressing MMP14 [GeneID=4323] compared to those with knockdown of the gene by RNAi.","31","null","Homo sapiens","MSigDB","211"
"FAX000344","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif TGANNYRGCA which matches annotation for NFE2L1: nuclear factor (erythroid derived 2) like 1 MAFG: v maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)","278","null","Homo sapiens","MSigDB","28.1"
"FAX000776","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif NNNNNATGACTCAGCANTTNNG which matches annotation for TCF11 MAFG: v maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)","195","null","Homo sapiens","MSigDB","10.5"
"FAX000607","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif TRGRRGGAAGTKKSST which matches annotation for MAF: v maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)","247","null","Homo sapiens","MSigDB","7.83"
"MAX000635","A","Genes down regulated in HT1080 (fibrosarcoma) cells by treatment with interferon gamma for 6 h.","11","null","Homo sapiens","MSigDB","5.11"
"MAX002475","A","Genes up regulated in HT1080 cells (fibrosarcoma) over expressing MMP14 [GeneID=4323] compared to those with knockdown of the gene by RNAi.","246","null","Homo sapiens","MSigDB","4.80"
"MAX002473","A","Genes down regulated in HT1080 cells (fibrosarcoma) over expressing MMP14 [GeneID=4323] compared to those with knockdown of the gene by RNAi.","30","null","Homo sapiens","MSigDB","0.818"
"MAX000631","A","Genes down regulated in HT1080 cells (fibrosarcoma) by treatment with interferon alpha for 6 h.","5","null","Homo sapiens","MSigDB","0.00"
"MAX000633","A","Genes down regulated in HT1080 (fibrosarcoma) cells by treatment with interferon beta for 6 h.","6","null","Homo sapiens","MSigDB","0.00"
"MAX002472","A","Genes whose expression most uniformly correlated with that of MMP14 [GeneID=4323] both in HT1080 cells (fibrosarcoma) and in 190 human tumors.","11","null","Homo sapiens","MSigDB","0.00"
