"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"FEX001053","G","Glioblastoma Morandi08 33genes","21","18694480.0","Homo sapiens","GeneSigDB","6.98e+3"
"MAX002482","A","Genes down regulated in T98G cells (glioblastoma) by TNC [GeneID=3371].","135","null","Homo sapiens","MSigDB","4.13e+3"
"MAX002807","A","Genes significantly mutated in 91 glioblastoma samples.","8","null","Homo sapiens","MSigDB","1.37e+3"
"FEX001052","G","Glioblastoma Morandi08 22genes","12","18694480.0","Homo sapiens","GeneSigDB","194"
"MAX001000","A","Genes down regulated in glioblastoma cell lines displaying spherical growth (cluster 1) compared to those displaying semiadherent or adherent growth phenotype (cluster 2).","26","null","Homo sapiens","MSigDB","170"
"GEX000090","G","anaplastic astrocytoma; glioblastoma multiforme","2","null","Homo sapiens","GAD","126"
"MAX000508","A","Genes down regulated in pilocytic astrocytoma compared to glioblastoma samples.","28","null","Homo sapiens","MSigDB","73.9"
"MAX002976","A","Genes correlated with neural type of glioblastoma multiforme tumors.","204","null","Homo sapiens","MSigDB","69.7"
"MAX002805","A","Genes down regulated and displaying decreased copy number in glioblastoma samples.","30","null","Homo sapiens","MSigDB","48.0"
"MAX000509","A","Genes up regulated in pilocytic astrocytoma compared to glioblastoma samples.","35","null","Homo sapiens","MSigDB","37.9"
"MAX001001","A","Genes up regulated in glioblastoma cell lines displaying spherical growth (cluster 1) compared to those displaying semiadherent or adherent growth phenotype (cluster 2).","17","null","Homo sapiens","MSigDB","23.7"
"MAX002806","A","Genes up regulated and displaying increased copy number in glioblastoma samples.","66","null","Homo sapiens","MSigDB","23.5"
"MAX002151","A","Top 50 marker genes for glioblastoma multiforme (GBM),  a class of high grade glioma.","46","null","Homo sapiens","MSigDB","22.3"
"MAX002975","A","Genes correlated with mesenchymal type of glioblastoma multiforme tumors.","194","null","Homo sapiens","MSigDB","19.5"
"FEX000213","G","Brain Glioblastoma multiforme Zhao09 16genes","16","19199503.0","Homo sapiens","GeneSigDB","19.0"
"MAX002974","A","Genes correlated with classical type of glioblastoma multiforme tumors.","198","null","Homo sapiens","MSigDB","6.36"
"MAX002483","A","Genes up regulated in T98G cells (glioblastoma) by TNC [GeneID=3371].","144","null","Homo sapiens","MSigDB","6.13"
"MAX002977","A","Genes correlated with proneural type of glioblastoma multiforme tumors.","190","null","Homo sapiens","MSigDB","5.02"
"GEX000741","G","glioblastoma","3","null","Homo sapiens","GAD","0.00"
"MAX000105","A","Genes up regulated in U87MG cells (glioblastoma multiforme) after knockdown of PRKCI [GeneID=5584] by RNAi.","30","null","Homo sapiens","MSigDB","0.00"
"FAX000882","A","Genes down regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].","168","null","Homo sapiens","MSigDB","0.00"
"FAX000883","A","Genes up regulated in A549 lung carcinoma and M059K glioblastoma cells treated with dichloroacetate [PubChem=6597].","173","null","Homo sapiens","MSigDB","0.00"
"MAX002296","A","Down regulated genes in U87 cells (glioblastoma multiforme,  GBM) engineered to stably express LGI1 [GeneID=9211].","14","null","Homo sapiens","MSigDB","0.00"
"MAX002297","A","Up regulated genes in U87 cells (glioblastoma multiforme,  GBM) engineered to stably express LGI1 [GeneID=9211].","15","null","Homo sapiens","MSigDB","0.00"
