"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG000522","P","Glioma","65","null","Homo sapiens","MSigDB","5.34e+3"
"MAX002150","A","Top 50 marker genes for anaplastic oligodendroglioma (AO),  a class of high grade glioma.","43","null","Homo sapiens","MSigDB","299"
"MAX002076","A","Genes up regulated in T98 cells (glioma) 48 h after treatment with interferon beta.","71","null","Homo sapiens","MSigDB","281"
"MAX002085","A","Proteins with reduced expression in mulignant glioma cell line (A172) which bears loss of heterozygosity (LOH) in the 1p region.","15","null","Homo sapiens","MSigDB","258"
"MAX002075","A","Genes down regulated in T98 cells (glioma) 48 h after treatment with interferon beta.","52","null","Homo sapiens","MSigDB","106"
"GEX167334","G","Glioma","7","21531791.0","Homo sapiens","GWAS Catalog","103"
"MAX000890","A","Genes up pregulated by dsRNA in GRE cells (glioma; no interferon system).","38","null","Homo sapiens","MSigDB","77.5"
"MAX001020","A","Genes with the highest differential expression in primary tissue cultures of high grade glioma: responders vs non responders to imatinib [PubChem=5291] treatment.","9","null","Homo sapiens","MSigDB","73.1"
"GEX000742","G","glioma","10","null","Homo sapiens","GAD","64.3"
"MAX001329","A","Genes changed in U373 MG cells (malignant glioma) upon treatment with arsenic trioxide [PubChem=14888],  a chemical that can cause autophagic cell death.","119","null","Homo sapiens","MSigDB","50.8"
"MAX000889","A","Genes down pregulated by dsRNA in GRE cells (glioma; no interferon system).","15","null","Homo sapiens","MSigDB","42.3"
"GEX166861","G","Glioma","6","19578367.0","Homo sapiens","GWAS Catalog","38.9"
"MAX000110","A","Genes up regulated in T98G cells (glioma,  express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","18","null","Homo sapiens","MSigDB","28.2"
"MAX000113","A","Genes down regulated in A172 cells (glioma,  does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","30","null","Homo sapiens","MSigDB","26.4"
"MAX002151","A","Top 50 marker genes for glioblastoma multiforme (GBM),  a class of high grade glioma.","46","null","Homo sapiens","MSigDB","22.3"
"MAX002466","A","Genes in the most frequently gained loci in a panel of glioma cell lines.","94","null","Homo sapiens","MSigDB","19.5"
"MAX002672","A","Genes up regulated in glioma cell lines after knockdown of SPARC [GeneID=6678] by RNAi.","24","null","Homo sapiens","MSigDB","15.3"
"MAX000109","A","Genes down regulated in T98G cells (glioma,  express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","158","null","Homo sapiens","MSigDB","10.8"
"MAX003215","A","Genes whose expression most strongly and consistently associated with the short term survival of patients with high grade glioma tumors.","9","null","Homo sapiens","MSigDB","7.83"
"MAX000108","A","Genes up regulated in T98G cells (glioma,  express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","9","null","Homo sapiens","MSigDB","7.83"
"MAX000112","A","Genes up regulated in A172 cells (glioma,  does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","14","null","Homo sapiens","MSigDB","7.25"
"MAX000107","A","Genes down regulated in T98G cells (glioma,  express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","33","null","Homo sapiens","MSigDB","5.20"
"MAX000820","A","Genes significantly de regulated (p [GeneID=406991] in A172 cells (glioma).","273","null","Homo sapiens","MSigDB","5.17"
"MAX002465","A","Genes in the most frequently homozygous deleted loci in a panel of glioma cell lines.","50","null","Homo sapiens","MSigDB","4.78"
"MAX000114","A","Genes up regulated in A172 cells (glioma,  does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","18","null","Homo sapiens","MSigDB","3.91"
"MAX001381","A","Genes down regulated in glioma cell lines treated with both decitabine [PubChem=451668] and TSA [PubChem=5562].","13","null","Homo sapiens","MSigDB","3.48"
"MAX002671","A","Genes down regulated in glioma cell lines after knockdown of SPARC [GeneID=6678] by RNAi.","12","null","Homo sapiens","MSigDB","3.48"
"MAX001382","A","Genes up regulated in glioma cell lines treated with both decitabine [PubChem=451668] and TSA [PubChem=5562].","120","null","Homo sapiens","MSigDB","2.96"
"MAX002467","A","Genes in the most frequently heterozygous deleted loci of a panel of glioma cell lines.","42","null","Homo sapiens","MSigDB","0.842"
"MAX000111","A","Genes down regulated in A172 cells (glioma,  does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","9","null","Homo sapiens","MSigDB","0.00"
"MAX003216","A","Genes whose expression most strongly and consistently associated with the long term survival of patients with high grade glioma tumors.","10","null","Homo sapiens","MSigDB","0.00"
"GEX000743","G","glioma (high grade)","1","null","Homo sapiens","GAD","0.00"
"GEX167791","G","Glioma","3","22886559.0","Homo sapiens","GWAS Catalog","0.00"
