"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"FEX002197","G","Lymphoma Kaminski03 28genes","21","12946996.0","Homo sapiens","GeneSigDB","8.77e+3"
"FEX002337","G","Lymphoma Compagno09 genes","31","19412164.0","Homo sapiens","GeneSigDB","4.70e+3"
"MAX002160","A","Genes down regulated in P493 6 cells (B lymphocyte,  Burkitt's lymphoma model) upon knockdown of TFRC [GeneID=7037] by RNAi.","122","null","Homo sapiens","MSigDB","4.11e+3"
"FEX002302","G","Lymphoma Staege08 26genes","14","18400362.0","Homo sapiens","GeneSigDB","3.96e+3"
"FEX002307","G","Lymphoma Blenk08 16genes","11","18416826.0","Homo sapiens","GeneSigDB","3.47e+3"
"MAX002158","A","Genes up regulated in P493 6 cells (B lymphocyte,  Burkitt's lymphoma model) by MYC [GeneID=4609] and down regulated by RNAi knockdown of TFRC [GeneID=7037].","42","null","Homo sapiens","MSigDB","3.12e+3"
"FEX002196","G","Lymphoma Kaminski03 33genes","22","12946996.0","Homo sapiens","GeneSigDB","2.79e+3"
"FEX002320","G","Lymphoma Sander08 27genes","22","18713946.0","Homo sapiens","GeneSigDB","2.68e+3"
"FEX002159","G","Lymphoma Lam01 23genes","13","11597333.0","Homo sapiens","GeneSigDB","2.55e+3"
"FEX002350","G","Lymphoma VanLoo09 25genes","17","19797726.0","Homo sapiens","GeneSigDB","2.54e+3"
"FEX002306","G","Lymphoma Sorich08 50genes","45","18416598.0","Homo sapiens","GeneSigDB","2.05e+3"
"FEX002194","G","Lymphoma Kaminski03 19genes","14","12946996.0","Homo sapiens","GeneSigDB","1.99e+3"
"FEX002261","G","Lymphoma Flotho06 53genes","50","16627760.0","Homo sapiens","GeneSigDB","1.92e+3"
"FEX002347","G","Lymphoma Gentles09 780genes","540","19636063.0","Homo sapiens","GeneSigDB","1.89e+3"
"FEX002247","G","Lymphoma Martinez Delgado05 135genes","104","16270046.0","Homo sapiens","GeneSigDB","1.68e+3"
"FEX002354","G","Lymphoma Sagaert10 38genes","27","20081812.0","Homo sapiens","GeneSigDB","1.58e+3"
"FEX002243","G","Lymphoma Tome05 1333genes","627","16081686.0","Homo sapiens","GeneSigDB","1.27e+3"
"FEX002192","G","Lymphoma Jenner03 279genes","149","12925741.0","Homo sapiens","GeneSigDB","899"
"FEX002351","G","Lymphoma VanLoo09 11genes","10","19797726.0","Homo sapiens","GeneSigDB","864"
"FEX002279","G","Lymphoma Shin07 62genes","53","17638852.0","Homo sapiens","GeneSigDB","832"
"MAX002267","A","Genes down regulated in BJAB cells (B lymphoma) after leucine [PubChem=857] deprivation.","183","null","Homo sapiens","MSigDB","712"
"FEX002158","G","Lymphoma Murakami02 22genes","19","11298554.0","Homo sapiens","GeneSigDB","674"
"FEX002277","G","Lymphoma Knoops07 201genes","120","17483295.0","Homo sapiens","GeneSigDB","647"
"FEX002352","G","Lymphoma VanLoo09 40genes","39","19797726.0","Homo sapiens","GeneSigDB","646"
"MAX002265","A","Genes down regulated in BJAB cells (B lymphoma) after glutamine [PubChem=738] deprivation.","325","null","Homo sapiens","MSigDB","627"
"FEX002250","G","Lymphoma Karube06 17genes","15","16291580.0","Homo sapiens","GeneSigDB","575"
"FEX002236","G","Lymphoma Zhu05 61genes","53","15897243.0","Homo sapiens","GeneSigDB","570"
"FEX002359","G","Lymphoma VonKopylow10 11genes BayesianT test","254","20208059.0","Homo sapiens","GeneSigDB","534"
"FEX002230","G","Lymphoma Melendez05 4229genes","2478","15656903.0","Homo sapiens","GeneSigDB","509"
"FEX002353","G","Lymphoma Sagaert10 167genes","96","20081812.0","Homo sapiens","GeneSigDB","492"
"FEX002298","G","Lymphoma Lam08 1502genes","863","18160665.0","Homo sapiens","GeneSigDB","463"
"FEX002242","G","Lymphoma Tome05 37genes","8","16081686.0","Homo sapiens","GeneSigDB","455"
"FEX002205","G","Lymphoma Martinez03 23genes","18","14678979.0","Homo sapiens","GeneSigDB","445"
"FEX002303","G","Lymphoma Staege08 35genes","17","18400362.0","Homo sapiens","GeneSigDB","439"
"FEX002254","G","Lymphoma Mahadevan05 21genes PTCL NOSvsNormalPeripheralBloodTCells","18","16373702.0","Homo sapiens","GeneSigDB","429"
"MAX002668","A","Top 50 up regulated markers distinguishing diffuse large B cell lymphoma (DLBCL) from follicular lymphoma (FL) samples.","44","null","Homo sapiens","MSigDB","428"
"FEX002241","G","Lymphoma Tome05 357genes","150","16081686.0","Homo sapiens","GeneSigDB","402"
"MAX002269","A","Genes down regulated in BJUB cells (B lymphoma) in response to  rapamycin [PubChem=6610346] treatment.","225","null","Homo sapiens","MSigDB","377"
"FEX002220","G","Lymphoma Sriuranpong04 45genes","39","15297395.0","Homo sapiens","GeneSigDB","320"
"FEX002165","G","Lymphoma Poole02 47genes","37","11884566.0","Homo sapiens","GeneSigDB","320"
"MAX001788","A","Genes up regulated by IL2 [GeneID=3558] in cells derived from  CD4+ [GeneID=920] cutaneous T cell lymphoma (CTCL).","111","null","Homo sapiens","MSigDB","299"
"FEX002309","G","Lymphoma Huynh08 18genes","16","18464117.0","Homo sapiens","GeneSigDB","272"
"MAX002582","A","Genes up regulated in P493 6 cells (Burkitt's lymphoma) induced to express MYC [GeneID=4609].","75","null","Homo sapiens","MSigDB","272"
"FEX002174","G","Lymphoma Lossos02 152genes","99","12077300.0","Homo sapiens","GeneSigDB","257"
"FEX002176","G","Lymphoma Martinez Climent03 431genes","252","12406872.0","Homo sapiens","GeneSigDB","234"
"MAX000147","A","Set 'Myc targets2': targets of c Myc [GeneID=4609] and Max [GeneID=4149] identified by ChIP on chip in a Burkitt's lymphoma cell line; overlap set.","714","null","Homo sapiens","MSigDB","231"
"MAX000127","A","Gene up regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","99","null","Homo sapiens","MSigDB","231"
"FEX002239","G","Lymphoma Baumforth05 26genes","26","15933052.0","Homo sapiens","GeneSigDB","228"
"FEX002168","G","Lymphoma Islam02 11genes","10","11920564.0","Homo sapiens","GeneSigDB","227"
"MAX001116","A","Genes up regulated in lymph nodes from patients with mantle cell lymphoma (MCL) compared to the non malignant hyperplastic lymph nodes.","47","null","Homo sapiens","MSigDB","223"
"FEX002253","G","Lymphoma Lecane05 131genes","121","16357179.0","Homo sapiens","GeneSigDB","220"
"FEX002274","G","Lymphoma Piccaluga07 64genes","54","17304354.0","Homo sapiens","GeneSigDB","213"
"FEX002164","G","Lymphoma Poole02 54genes","45","11884566.0","Homo sapiens","GeneSigDB","206"
"FEX002329","G","Lymphoma Saez09 67genes","47","19373655.0","Homo sapiens","GeneSigDB","187"
"FEX002300","G","Lymphoma Staege08 50genes UpRegulated HodgkinlymphvNorm","39","18400362.0","Homo sapiens","GeneSigDB","186"
"FEX002332","G","Lymphoma Chin09 110genes","76","19377508.0","Homo sapiens","GeneSigDB","183"
"GEX167957","G","Lymphoma","12","23349640.0","Homo sapiens","GWAS Catalog","176"
"FEX002238","G","Lymphoma RuizBallesteros05 30genes","24","15914563.0","Homo sapiens","GeneSigDB","174"
"FEX002223","G","Lymphoma Guedez05 17genes","17","15479729.0","Homo sapiens","GeneSigDB","173"
"FEX002361","G","Lymphoma Dickens10 50genes","47","20215539.0","Homo sapiens","GeneSigDB","170"
"MAX001022","A","Differentially expressed genes relevant to pathogenesis of cutaneous T cell lymphoma (CTCL).","16","null","Homo sapiens","MSigDB","169"
"FEX002325","G","Lymphoma Chng09 209genes","163","18974375.0","Homo sapiens","GeneSigDB","168"
"MAX001393","A","Genes down regulated in AIDS related primary effusion lymphoma (PEL) samples compared to other tumor subtypes and normal B lymphocytes.","54","null","Homo sapiens","MSigDB","167"
"FEX002222","G","Lymphoma Guedez05 40genes","37","15479729.0","Homo sapiens","GeneSigDB","165"
"FEX002251","G","Lymphoma Karube06 06genes","6","16291580.0","Homo sapiens","GeneSigDB","165"
"FEX002160","G","Lymphoma Lam01 06genes","6","11597333.0","Homo sapiens","GeneSigDB","165"
"FEX002338","G","Lymphoma Germinal07 18genes","16","19455257.0","Homo sapiens","GeneSigDB","154"
"FEX002360","G","Lymphoma Dickens10 97genes","91","20215539.0","Homo sapiens","GeneSigDB","152"
"FEX002291","G","Lymphoma MontesMoreno08 31genes","22","17898315.0","Homo sapiens","GeneSigDB","147"
