"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG000065","P","Fc epsilon receptor I signaling in mast cells","61","null","Homo sapiens","MSigDB","4.96e+3"
"WIG000323","P","Fc Epsilon Receptor I Signaling in Mast Cells","39","null","Homo sapiens","MSigDB","3.47e+3"
"TAX001185","A","Genes annotated by the GO term GO:0008201. Interacting selectively with heparin,  any member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha1 4 linked D galactose and N acetyl D glucosamine 6 sulfate residues.","22","null","Homo sapiens","MSigDB","146"
"FAX002724","A","Genes down regulated in comparison of mast cells versus Th2 cells.","189","null","Homo sapiens","MSigDB","85.9"
"FAX002678","A","Genes down regulated in comparison of eosinophils versus mast cells.","181","null","Homo sapiens","MSigDB","52.3"
"FAX002722","A","Genes down regulated in comparison of mast cells versus Th1 cells.","186","null","Homo sapiens","MSigDB","38.9"
"FAX002719","A","Genes up regulated in comparison of mast cells versus neutrophils.","179","null","Homo sapiens","MSigDB","37.2"
"FAX002721","A","Genes up regulated in comparison of mast cells versus NK cells.","184","null","Homo sapiens","MSigDB","16.9"
"FAX002717","A","Genes up regulated in comparison of mast cells versus macrophages.","186","null","Homo sapiens","MSigDB","15.8"
"FAX002711","A","Genes up regulated in comparison of mast cells versus central memory CD4 [GeneID=920] T cells.","186","null","Homo sapiens","MSigDB","14.1"
"MAX002052","A","Top 50 most increased mast cell specific genes.","45","null","Homo sapiens","MSigDB","13.0"
"FAX002627","A","Genes up regulated in comparison of untreated mast cells versus mast cells treated with IgE at 2 h.","189","null","Homo sapiens","MSigDB","10.2"
"FAX002706","A","Genes down regulated in comparison of mast cells versus basophils.","178","null","Homo sapiens","MSigDB","8.49"
"FAX002707","A","Genes up regulated in comparison of mast cells versus basophils.","175","null","Homo sapiens","MSigDB","8.06"
"MAX002172","A","Genes up regulated in mast cells (MC) after stimulation with a bacterial lipopolysaccharide (LPS).","170","null","Homo sapiens","MSigDB","7.79"
"FAX002712","A","Genes down regulated in comparison of mast cells versus dendritic cells (DC).","185","null","Homo sapiens","MSigDB","7.06"
"FAX002718","A","Genes down regulated in comparison of mast cells versus neutrophils.","188","null","Homo sapiens","MSigDB","6.72"
"FAX002716","A","Genes down regulated in comparison of mast cells versus macrophages.","180","null","Homo sapiens","MSigDB","6.67"
"FAX002713","A","Genes up regulated in comparison of mast cells versus dendritic cells (DC).","178","null","Homo sapiens","MSigDB","5.69"
"FAX002710","A","Genes down regulated in comparison of mast cells versus central memory CD4 [GeneID=920] T cells.","180","null","Homo sapiens","MSigDB","4.65"
"FAX002720","A","Genes down regulated in comparison of mast cells versus NK cells.","189","null","Homo sapiens","MSigDB","4.47"
"FAX002708","A","Genes down regulated in comparison of mast cells versus B cells.","176","null","Homo sapiens","MSigDB","4.40"
"FAX002679","A","Genes up regulated in comparison of eosinophils versus mast cells.","189","null","Homo sapiens","MSigDB","4.12"
"FAX002626","A","Genes down regulated in comparison of untreated mast cells versus mast cells treated with IgE at 2 h.","183","null","Homo sapiens","MSigDB","3.92"
"FAX002709","A","Genes up regulated in comparison of mast cells versus B cells.","182","null","Homo sapiens","MSigDB","3.59"
"FAX002714","A","Genes down regulated in comparison of mast cells versus effector memory CD4 [GeneID=920] T cells.","186","null","Homo sapiens","MSigDB","2.77"
"FAX002715","A","Genes up regulated in comparison of mast cells versus effector memory CD4 [GeneID=920] T cells.","181","null","Homo sapiens","MSigDB","2.47"
"FAX002723","A","Genes up regulated in comparison of mast cells versus Th1 cells.","186","null","Homo sapiens","MSigDB","0.167"
"FAX002725","A","Genes up regulated in comparison of mast cells versus Th2 cells.","186","null","Homo sapiens","MSigDB","0.00"
