"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX002314","A","Top down regulated marker genes for medulloblastoma classification: desmoplastic vs classic morphology.","59","null","Homo sapiens","MSigDB","547"
"MAX002316","A","Top marker genes in medulloblastoma associated with poor response to treatment (poor outcome).","41","null","Homo sapiens","MSigDB","434"
"FAX000951","A","Genes up regulated in DAOY cells (medulloblastoma) upon knockdown of PCGF2 [GeneID=7703] gene by RNAi.","134","null","Homo sapiens","MSigDB","40.1"
"FAX000858","A","Genes up regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 [GeneID=648] gene by RNAi.","138","null","Homo sapiens","MSigDB","38.4"
"MAX003126","A","Genes up regulated in DAOY cells (medulloblastoma) upon knockdown of both BMI1 and PCGF2 [GeneID=648] [GeneID=7703] by RNAi.","57","null","Homo sapiens","MSigDB","37.9"
"FAX000856","A","Genes up regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 and PCGF2 [GeneID=648] [GeneID=7703] genes by RNAi.","138","null","Homo sapiens","MSigDB","37.6"
"MAX000092","A","Genes down regulated in D 341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6 BG [PubChem=2578;4578].","54","null","Homo sapiens","MSigDB","21.1"
"MAX000093","A","Genes up regulated in D 341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6 BG [PubChem=2578;4578].","24","null","Homo sapiens","MSigDB","14.3"
"MAX002315","A","Top up regulated marker genes for medulloblastoma classification: desmoplastic vs classic morphology.","60","null","Homo sapiens","MSigDB","14.3"
"FAX000950","A","Genes down regulated in DAOY cells (medulloblastoma) upon knockdown of PCGF2 [GeneID=7703] gene by RNAi.","137","null","Homo sapiens","MSigDB","14.2"
"FAX000841","A","Genes down regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [GeneID=238] gene by RNAi.","132","null","Homo sapiens","MSigDB","11.1"
"FAX000842","A","Genes up regulated in DAOY cells (medulloblastoma) upon knockdown of ALK [GeneID=238] gene by RNAi.","137","null","Homo sapiens","MSigDB","8.90"
"FAX000855","A","Genes down regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 and PCGF2 [GeneID=648] [GeneID=7703] genes by RNAi.","137","null","Homo sapiens","MSigDB","3.94"
"MAX002317","A","Top marker genes in medulloblastoma associated with good response to treatment (good outcome).","42","null","Homo sapiens","MSigDB","3.77"
"FAX000857","A","Genes down regulated in DAOY cells (medulloblastoma) upon knockdown of BMI1 [GeneID=648] gene by RNAi.","133","null","Homo sapiens","MSigDB","2.19"
