"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX001344","A","DNA repair and replication genes up regulated in melanoma patients who will relapse vs patients who will not.","60","null","Homo sapiens","MSigDB","7.41e+3"
"MAX003148","A","Genes from the 254 gene classifier which were up regulated in melanoma patients with a reported distant metastasis within 4 years.","147","null","Homo sapiens","MSigDB","7.09e+3"
"WIG000560","P","Melanoma","71","null","Homo sapiens","MSigDB","5.01e+3"
"MAX001407","A","Genes up regulated in MEWO cells (melanoma) after 48h of methionine [PubChem=876] deprivation.","124","null","Homo sapiens","MSigDB","724"
"MAX001409","A","Genes up regulated in MEWO cells (melanoma) after 96 h of methionine [PubChem=876] deprivation.","113","null","Homo sapiens","MSigDB","574"
"MAX001408","A","Genes down regulated in MEWO cells (melanoma) after 96 h of methionine [PubChem=876] deprivation.","75","null","Homo sapiens","MSigDB","492"
"MAX002574","A","Genes down regulated in A375 cells (melanoma) treated with KINK 1,  a small molecule inhibitor of NFKB.","31","null","Homo sapiens","MSigDB","357"
"MAX001406","A","Genes down regulated in MEWO cells (melanoma) after 48h of methionine [PubChem=876] deprivation.","64","null","Homo sapiens","MSigDB","212"
"MAX001256","A","Genes up regulated in metastases from malignant melanoma compared to the primary tumors.","43","null","Homo sapiens","MSigDB","171"
"MAX001034","A","Genes up regulated in T1 cells (primary melanoma,  sensitive to TRAIL [GeneID=8743]) compared to G1 cells (metastatic melanoma,  resistant to TRAIL).","543","null","Homo sapiens","MSigDB","141"
"GEX000529","G","cutaneous malignant melanoma","2","null","Homo sapiens","GAD","126"
"GEX167493","G","Melanoma","12","21983787.0","Homo sapiens","GWAS Catalog","107"
"GEX001084","G","melanoma","31","null","Homo sapiens","GAD","88.5"
"MAX002185","A","Genes down regulated in uveal melanoma: class 2 vs class 1 tumors.","494","null","Homo sapiens","MSigDB","74.1"
"MAX000049","A","Up regulated genes in melanoma tumous that developed metastatic disease compared to primary melanoma that did not.","181","null","Homo sapiens","MSigDB","64.7"
"GEX001085","G","melanoma|nevus|skin neoplasms|sunburn","3","null","Homo sapiens","GAD","59.7"
"GEX166858","G","Melanoma","3","19578364.0","Homo sapiens","GWAS Catalog","59.7"
"MAX001255","A","Genes down regulated in metastases from malignant melanoma compared to the primary tumors.","249","null","Homo sapiens","MSigDB","55.4"
"MAX002186","A","Genes up regulated in uveal melanoma: class 2 vs class 1 tumors.","722","null","Homo sapiens","MSigDB","38.9"
"MAX000047","A","EMT (epithelial mesenchymal transition) genes up regulated genes in melanoma tumous that developed metastatic disease compared to primary melanoma that did not.","35","null","Homo sapiens","MSigDB","35.7"
"GEX168064","G","Valsesia et al.,  2011 04 08,  PLoS One,  Network guided analysis of genes with altered somatic copy number and gene expression reveals pathways commonly perturbed in metastatic melanoma","10","21494657.0","Homo sapiens","NGS Catalog","31.0"
"MAX001623","A","Candidate genes in significant regions of chromosomal copy number gains in a panel of melanoma samples.","64","null","Homo sapiens","MSigDB","26.2"
"GEX168066","G","Berger et al.,  2011 02 23,  Genome Research,  Integrative analysis of the melanoma transcriptome","22","20179022.0","Homo sapiens","NGS Catalog","16.9"
"GEX167492","G","Melanoma","6","21983785.0","Homo sapiens","GWAS Catalog","12.9"
"MAX000048","A","Neural related genes up regulated in melanoma tumors that developed metastases compared to primary melanoma that did not.","17","null","Homo sapiens","MSigDB","10.7"
"MAX001622","A","Candidate genes in significant regions of chromosomal copy number losses in a panel of melanoma samples.","38","null","Homo sapiens","MSigDB","9.96"
"MAX001033","A","Genes down regulated in T1 cells (primary melanoma,  sensitive to TRAIL [GeneID=8743]) compared to G1 cells (metastatic melanoma,  resistant to TRAIL).","177","null","Homo sapiens","MSigDB","5.99"
"MAX000695","A","Up regulated genes in the expression signature of aneuploidy in uveal melanoma tumors: low vs high aneuploidy.","36","null","Homo sapiens","MSigDB","2.45"
"MAX001400","A","Genes up regulated in MM LH cells (malignant melanoma) after treatment with the HDAC inhibitor romidepsin (FK228) [PubChem=5352062].","18","null","Homo sapiens","MSigDB","1.25"
"MAX002669","A","Genes down regulated in A375 and 397 cells (melanoma) by forced expression of PLZF [GeneID=7704] off adenovirus vector.","9","null","Homo sapiens","MSigDB","0.00"
"MAX002670","A","Genes up regulated in A375 and 397 cells (melanoma) by forced expression of PLZF [GeneID=7704] off adenovirus vector.","10","null","Homo sapiens","MSigDB","0.00"
"MAX003147","A","Genes from the 254 gene classifier which were down regulated in melanoma patients with a reported distant metastasis within 4 years.","44","null","Homo sapiens","MSigDB","0.00"
"GEX168076","G","Nikolaev et al.,  2011 12 25,  Nature Genetics,  Exome sequencing identifies recurrent somatic MAP2K1 and MAP2K2 mutations in melanoma","4","22197931.0","Homo sapiens","NGS Catalog","0.00"
"GEX000321","G","breast cancer melanoma","2","null","Homo sapiens","GAD","0.00"
"GEX001503","G","skin cancer,  non melanoma","1","null","Homo sapiens","GAD","0.00"
"GEX001074","G","malignant melanoma","2","null","Homo sapiens","GAD","0.00"
"GEX001086","G","melanoma|skin neoplasms","2","null","Homo sapiens","GAD","0.00"
"GEX168044","G","Non melanoma skin cancer","4","23548203.0","Homo sapiens","GWAS Catalog","0.00"
