"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX000536","A","Genes down regulated in the ANBL 6 cell line (multiple myeloma,  MM) after withdrawal of IL6 [GeneID=3569].","95","null","Homo sapiens","MSigDB","2.03e+4"
"MAX000538","A","Genes down regulated in ANBL 6 cell line (multiple myeloma,  MM)  expressing a constantly active form of NRAS [GeneID=4893] off a plasmid vector compared to those grown in the presence of IL6 [GeneID=3569].","70","null","Homo sapiens","MSigDB","1.65e+4"
"MAX000484","A","Protein biosynthesis,  transport or catabolism genes up regulated in hyperploid multiple myeloma (MM) compared to the non hyperploid MM samples.","51","null","Homo sapiens","MSigDB","1.28e+4"
"MAX003339","A","Top 50 up regulated genes in cluster PR of multiple myeloma samples characterized by increased expression of proliferation and cell cycle genes.","43","null","Homo sapiens","MSigDB","1.22e+4"
"MAX001934","A","Genes down regulated in the MM1S cells (multiple myeloma) after treatment with aplidin [PubChem=44152164],  a marine derived compound with potential anti cancer properties.","238","null","Homo sapiens","MSigDB","1.62e+3"
"MAX000540","A","Genes down regulated in ANBL 6 cell line (multiple myeloma,  MM) expressing an activated form of NRAS [GeneID=4893] off a plasmid vector compared to those co cultured with bone marrow stromal cells.","93","null","Homo sapiens","MSigDB","1.37e+3"
"MAX000012","A","Genes down regulated in immunoglobulin light chain amyloidosis plasma cells (ALPC) compared to multiple myeloma (MM) cells.","19","null","Homo sapiens","MSigDB","439"
"MAX003332","A","Top 50 down regulated genes in cluster LB of multiple myeloma samples belonging to the low bone disease group.","38","null","Homo sapiens","MSigDB","402"
"MAX003341","A","Top genes up regulated in MM4 vs MM1 subgroup of multiple myeloma samples.","30","null","Homo sapiens","MSigDB","376"
"MAX000013","A","Genes up regulated in immunoglobulin light chain amyloidosis plasma cells (ALPC) compared to multiple myeloma (MM) cells.","26","null","Homo sapiens","MSigDB","314"
"MAX002006","A","Genes up regulated in multiple myeloma (MM) compared to normal plasma cells from the patient's identical twin.","81","null","Homo sapiens","MSigDB","221"
"MAX000543","A","Genes up regulated in ANBL 6 cell line (multiple myeloma,  MM) co cultured with bone marrow stromal cells compared to those grown in the presence of IL6 [GeneID=3569].","57","null","Homo sapiens","MSigDB","216"
"MAX002312","A","Down regulated genes in MM1.S cells (multiple myeloma) treated with adaphostin [PubChem=387042],  a tyrosine kinase inhibitor with anticancer properties.","17","null","Homo sapiens","MSigDB","182"
"MAX000417","A","Genes down regulated by 2 methoxyestradiol (2ME2) [PubChem=1573] in the MM.1S cell line (multiple myeloma) sensitive to dexamethasone [PubChem=5743].","96","null","Homo sapiens","MSigDB","133"
"MAX001964","A","Genes down regulated in normal bone marrow plasma cells (BMPC) compared to polyclonal plasmablasts (PPC) that also distinguished multiple myeloma (MM) samples by expression of levels of TACI [GeneID=23495].","63","null","Homo sapiens","MSigDB","125"
"MAX000418","A","Genes up regulated by 2 methoxyestradiol (2ME2) [PubChem=1573] in the MM.1S cell line (multiple myeloma) sensitive to dexamethasone [PubChem=5743].","46","null","Homo sapiens","MSigDB","122"
"MAX001966","A","Down regulated genes distinguishing in multiple myeloma (MM) samples with lower expression of TACI [GeneID=23495].","147","null","Homo sapiens","MSigDB","95.3"
"MAX000267","A","Genes changed in INA 6 cells (multiple myeloma,  MM) by re addition of IL6 [GeneID=3569] after its initial withdrawal for 12h.","140","null","Homo sapiens","MSigDB","85.6"
"MAX000539","A","Genes up regulated in ANBL 6 cell line (multiple myeloma,  MM)  expressing a constantly active form of NRAS [GeneID=4893] off a plasmid vector compared to those grown in the presence of IL6 [GeneID=3569].","39","null","Homo sapiens","MSigDB","84.0"
"MAX001074","A","Genes up regulated in at least one of three multiple myeloma (MM) cell lines treated with the DNA hypomethylating agent decitabine (5 aza 2' deoxycytidine) [PubChem=451668].","273","null","Homo sapiens","MSigDB","74.8"
"MAX003329","A","Genes most significantly down regulated in multiple myeloma samples,  compared to normal bone marrow plasma cells.","41","null","Homo sapiens","MSigDB","65.5"
"MAX001800","A","Genes differentially expressed in multiple myeloma (MM) patients: comparison of MGUS like vs PCL like samples; MGUS=monoclonal gammopathy of undetermined significance,  PCL=plasma cell leukemia.","14","null","Homo sapiens","MSigDB","55.4"
"GEX001140","G","multiple myeloma","11","null","Homo sapiens","GAD","53.6"
