"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX001947","A","Genes commonly down regulated in SK N BE cells (neuroblastoma) after RNAi knockdown of CCND1 and CDK4 [GeneID=595;1019].","49","null","Homo sapiens","MSigDB","3.73e+3"
"MAX001579","A","Genes down regulated during neuronal differentiation of SH SY5Y cells (neuroblastoma) in response to stimulation by tretinoin (all trans retinoic acid,  ATRA) [PubChemID=444795] and BDNF [GeneID=627].","19","null","Homo sapiens","MSigDB","485"
"MAX003095","A","Genes whose promoters contain E box motifs and whose expression changed in MYCN 3 cells (neuroblastoma) upon induction of MYCN [GeneID=4613].","714","null","Homo sapiens","MSigDB","257"
"MAX000514","A","Genes down regulated in SH SY5Y cells (neuroblastoma) after treatment with epoxomicin [PubChem=3035402],  a protease inhibitor causing apoptosis.","156","null","Homo sapiens","MSigDB","175"
"MAX000515","A","Genes up regulated in SH SY5Y cells (neuroblastoma) after treatment with epoxomicin [PubChem=3035402],  a protease inhibitor causing apoptosis.","231","null","Homo sapiens","MSigDB","54.5"
"MAX002578","A","Genes up regulated in Kelly cells (neuroblastoma) by overexpressing INHBA [GeneID=3624] off a plasmid vector.","7","null","Homo sapiens","MSigDB","48.2"
"MAX000721","A","Genes in the hypoxia signature,  based on analysis of 11 neuroblastoma cell lines in hypoxia and normal oxygen conditions.","32","null","Homo sapiens","MSigDB","38.0"
"MAX002577","A","Genes down regulated in Kelly cells (neuroblastoma) by overexpressing INHBA [GeneID=3624] off a plasmid vector.","23","null","Homo sapiens","MSigDB","30.3"
"MAX001512","A","Genes with copy number gains in primary neuroblastoma tumors.","166","null","Homo sapiens","MSigDB","24.5"
"MAX000371","A","Genes up regulated in neuroblastoma xenografts: sensitive vs resistant to the topoisomerase inhibitor irinotecan [GeneID=3750].","5","null","Homo sapiens","MSigDB","24.0"
"FAX000967","A","Genes down regulated in SH SY5Y cells (neuroblastoma) in response to PDGF [Gene ID=] stimulation after pre treatment with the ERK inhibitors U0126 and PD98059 [PubChem=3006531] [PubChem=4713].","143","null","Homo sapiens","MSigDB","16.5"
"MAX002455","A","Neuroblastoma markers down regulated in neuroblastoma cell lines expressing ESWR1 FLI1 [GeneID=2130;2313] fusion protein.","29","null","Homo sapiens","MSigDB","15.8"
"MAX002171","A","Genes in the smallest region of deletion (SRD) in 1p36.3 area in neuroblastoma samples.","22","null","Homo sapiens","MSigDB","15.3"
"MAX001510","A","Genes co amplified within MYCN [GeneID=4613] in primary neuroblastoma tumors.","38","null","Homo sapiens","MSigDB","14.6"
"FAX000970","A","Genes up regulated in SH SY5Y cells (neuroblastoma) in response to PDGF [Gene ID=] stimulation.","141","null","Homo sapiens","MSigDB","13.7"
"MAX003119","A","Genes within the smallest region of consistend deletion (SRD) within 1p36.3 area across a large collection of neuroblastoma cell lines and biopsy samples.","21","null","Homo sapiens","MSigDB","13.5"
"MAX000722","A","Genes in the hypoxia signature,  based on analysis of nine neuroblastoma cell lines in hypoxia and normal oxygen conditions.","7","null","Homo sapiens","MSigDB","12.9"
"MAX002456","A","ES/PNET (Ewing sarcoma; primitive neuroectodermal tumors) markers up regulated in neuroblastoma cell lines expressing ESWR1 FLI1 [GeneID=2130;2313] fusion protein.","28","null","Homo sapiens","MSigDB","9.84"
"FAX000662","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif NNCCACGTGNNN which matches annotation for MYCN: v myc myelocytomatosis viral related oncogene,  neuroblastoma derived (avian)","251","null","Homo sapiens","MSigDB","7.58"
"FEX002398","G","Neuroblastoma Wei04 24genes","14","15466177.0","Homo sapiens","GeneSigDB","7.25"
"MAX001580","A","Genes up regulated during neuronal differentiation of SH SY5Y cells (neuroblastoma) in response to stimulation by tretinoin (all trans retinoic acid,  ATRA) [PubChemID=444795] and BDNF [GeneID=627].","17","null","Homo sapiens","MSigDB","7.04"
"MAX000083","A","Down regulated genes associated with poor survival prognosis of patients with metastatic neuroblastoma that lack MYCN [GeneID=4613] amplification.","38","null","Homo sapiens","MSigDB","6.06"
"FAX000969","A","Genes down regulated in SH SY5Y cells (neuroblastoma) in response to PDGF [Gene ID=] stimulation.","123","null","Homo sapiens","MSigDB","4.70"
"MAX001511","A","Genes with copy number losses in primary neuroblastoma tumors.","698","null","Homo sapiens","MSigDB","3.79"
"MAX000439","A","High grade amplification (copy number,  CN >= 5) detected in primary neuroblastoma samples.","47","null","Homo sapiens","MSigDB","1.86"
"MAX001103","A","Genes down regulated in SH SY5Y cells (neuroblastoma) after knockdown of NF1 [GeneID=4763] by RNAi.","102","null","Homo sapiens","MSigDB","1.64"
"MAX001104","A","Genes up regulated in SH SY5Y cells (neuroblastoma) after knockdown of NF1 [GeneID=4763] by RNAi.","129","null","Homo sapiens","MSigDB","1.28"
"MAX001948","A","Genes commonly up regulated in SK N BE cells (neuroblastoma) after RNAi knockdown of CCND1 and CDK4 [GeneID=595;1019].","59","null","Homo sapiens","MSigDB","0.515"
"MAX001355","A","Genes up regulated in multiple drug resistant neuroblastoma cell lines.","76","null","Homo sapiens","MSigDB","0.379"
"FAX000968","A","Genes up regulated in SH SY5Y cells (neuroblastoma) in response to PDGF [Gene ID=] stimulation after pre treatment with the ERK inhibitors U0126 and PD98059 [PubChem=3006531] [PubChem=4713].","135","null","Homo sapiens","MSigDB","0.209"
"MAX003094","A","Potential direct target genes for MIR34A [GeneID=407040] microRNA in IMR32 cells (neuroblastoma).","137","null","Homo sapiens","MSigDB","0.160"
"GEX001181","G","neuroblastoma","181","null","Homo sapiens","GAD","0.00"
"GEX167218","G","Neuroblastoma","2","21124317.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167809","G","Neuroblastoma","5","22941191.0","Homo sapiens","GWAS Catalog","0.00"
"MAX000370","A","Genes down regulated in neuroblastoma xenografts: sensitive vs resistant to the topoisomerase inhibitor irinotecan [GeneID=3750].","4","null","Homo sapiens","MSigDB","0.00"
"MAX000372","A","Genes down regulated in neuroblastoma xenografts: resistant vs those that reverted to be sensitive to the topoisomerase inhibitor irinotecan [PubChem=3750].","5","null","Homo sapiens","MSigDB","0.00"
"MAX000373","A","Genes up regulated in neuroblastoma xenografts: resistant vs those that reverted to be sensitive to the topoisomerase inhibitor irinotecan [PubChem=3750].","5","null","Homo sapiens","MSigDB","0.00"
"MAX002398","A","Genes down regulated in SK N DZ cells (neuroblastoma) after knockdown of MIF [GeneID=4282] by antisense RNA.","4","null","Homo sapiens","MSigDB","0.00"
"GEX168108","G","Cheung et al.,  2012 03 14,  The Journal of the American Medical Association,  Association of age at diagnosis and genetic mutations in patients with neuroblastoma","2","22416102.0","Homo sapiens","NGS Catalog","0.00"
