"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX001437","A","Up regulated in GHOST(3)CXCR4 cells (osteosarcoma) upon ectopic expression of ILF3 [GeneID=3609].","36","null","Homo sapiens","MSigDB","1.09e+3"
"MAX003278","A","Genes deregulated in U2OS cells (osteosarcoma) upon knockdown of BAP1 [GeneID=8314] by RNAi.","29","null","Homo sapiens","MSigDB","1.06e+3"
"FAX000326","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif SGCGSSAAA which matches annotation for E2F1: E2F transcription factor 1 TFDP1: transcription factor Dp 1 RB1: retinoblastoma 1 (including osteosarcoma)","153","null","Homo sapiens","MSigDB","430"
"FAX000468","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif TTTSGCGC which matches annotation for E2F1: E2F transcription factor 1 TFDP1: transcription factor Dp 1 RB1: retinoblastoma 1 (including osteosarcoma)","212","null","Homo sapiens","MSigDB","345"
"MAX001388","A","Genes down regulated in UB27 cells (osteosarcoma) at any time point after inducing the expression of a mutant form of WT1 [GeneID=7490].","420","null","Homo sapiens","MSigDB","241"
"MAX000639","A","Genes down regulated in SaOS 2 cells (osteosarcoma) upon knockdown of YY1 [GeneID=7528] by RNAi.","90","null","Homo sapiens","MSigDB","128"
"GEX001242","G","osteosarcoma","2","null","Homo sapiens","GAD","126"
"MAX000135","A","Genes down regulated in SaOS 2 cells (osteosarcoma) upon expression of PAX3 FOXO1 [GeneID=5077;2308] fusion protein off an adenoviral vector.","45","null","Homo sapiens","MSigDB","84.6"
"MAX002729","A","Genes up regulated by induction of E2F1 expression in Saos2 (osteosarcoma) cells.","28","null","Homo sapiens","MSigDB","74.9"
"MAX001389","A","Genes up regulated in UB27 cells (osteosarcoma) at any time point after inducing the expression of a mutant form of WT1 [GeneID=7490].","206","null","Homo sapiens","MSigDB","64.3"
"MAX001384","A","Genes down regulated in UB27 cells (osteosarcoma) at 12 hr after inducing the expression of a mutated form of WT1 [GeneID=7490].","197","null","Homo sapiens","MSigDB","38.1"
"MAX002606","A","Genes up regulated in U2OS cells (osteosarcoma) upon knockdown of HDAC1 [GeneID=3065] by RNAi.","418","null","Homo sapiens","MSigDB","32.7"
"MAX001436","A","Down regulated in GHOST(3)CXCR4 cells (osteosarcoma) upon ectopic expression of ILF3 [GeneID=3609].","44","null","Homo sapiens","MSigDB","32.2"
"MAX002610","A","Genes up regulated in U2OS cells (osteosarcoma) upon knockdown of HDAC3 [GeneID=8841] by RNAi.","465","null","Homo sapiens","MSigDB","26.9"
"MAX002608","A","Genes up regulated in U2OS cells (osteosarcoma) upon knockdown of HDAC2 [GeneID=3066] by RNAi.","105","null","Homo sapiens","MSigDB","22.0"
"MAX001387","A","Genes up regulated in UB27 cells (osteosarcoma) at 8 hr after inducing the expression of a mutant form of WT1 [GeneID=7490].","160","null","Homo sapiens","MSigDB","20.6"
"MAX002604","A","Genes up regulated in U2OS cells (osteosarcoma) upon knockdown of both HDAC1 and HDAC2 [GeneID=3065;3066] by RNAi.","217","null","Homo sapiens","MSigDB","16.0"
"MAX001646","A","Genes up regulated in U2OS cells (osteosarcoma) upon knockdown of TOPBP1 [GeneID=11073].","15","null","Homo sapiens","MSigDB","13.9"
"MAX000134","A","Genes up regulated in SaOS 2 cells (osteosarcoma) upon expression of PAX3 FOXO1 [GeneID=5077;2308] but down regulated by PAX3 expression off adenoviral vectors.","7","null","Homo sapiens","MSigDB","12.9"
"MAX002607","A","Genes down regulated in U2OS cells (osteosarcoma) upon knockdown of HDAC2 [GeneID=3066] by RNAi.","118","null","Homo sapiens","MSigDB","11.7"
"MAX002603","A","Genes down regulated in U2OS cells (osteosarcoma) upon knockdown of both HDAC1 and HDAC2 [GeneID=3065;3066] by RNAi.","204","null","Homo sapiens","MSigDB","11.0"
"MAX002605","A","Genes down regulated in U2OS cells (osteosarcoma) upon knockdown of HDAC1 [GeneID=3065] by RNAi.","227","null","Homo sapiens","MSigDB","6.55"
"MAX001385","A","Genes up regulated in UB27 cells (osteosarcoma) at 12 hr after inducing the expression of a mutated form of WT1 [GeneID=7490].","154","null","Homo sapiens","MSigDB","5.84"
"MAX002752","A","Genes up regulated by estradiol (E2) [PubChem=5757] in U2OS cells (osteosarcoma) expressing ESR1 or ESR2 [GeneID=2099;2100].","47","null","Homo sapiens","MSigDB","4.99"
"MAX000136","A","Genes up regulated in SaOS 2 cells (osteosarcoma) upon expression of PAX3 FOXO1 [GeneID=5077;2308] fusion protein off an adenoviral vector.","60","null","Homo sapiens","MSigDB","1.96"
"MAX001386","A","Genes down regulated in UB27 cells (osteosarcoma) at 8 hr after inducing the expression of a mutant form of WT1 [GeneID=7490].","116","null","Homo sapiens","MSigDB","1.34"
"MAX000640","A","Genes up regulated in SaOS 2 cells (osteosarcoma) upon knockdown of YY1 [GeneID=7528] by RNAi.","18","null","Homo sapiens","MSigDB","1.06"
"MAX003225","A","Genes down regulated in U2 OS Tet On cells (osteosarcoma) after induction of ESX1 [GeneID=80712] expression.","29","null","Homo sapiens","MSigDB","0.733"
"MAX002609","A","Genes down regulated in U2OS cells (osteosarcoma) upon knockdown of HDAC3 [GeneID=8841] by RNAi.","460","null","Homo sapiens","MSigDB","0.663"
