"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX000690","A","Muscle development genes up regulated in Rh4 cells (alveolar rhabdomyosarcoma,  ARMS) but not in the RD cells (embryonal rhabdomyosarcoma,  ERMS) after knockdown of PAX3 FOXO1 [GeneID=5077;2308] fusion by RNAi for 72 hr.","49","null","Homo sapiens","MSigDB","821"
"MAX002395","A","Genes commonly down regulated in human alveolar rhabdomyosarcoma (ARMS) and its mouse model overexpressing PAX3 FOXO1 [GeneID=5077;2308] fusion.","394","null","Homo sapiens","MSigDB","161"
"MAX000692","A","Genes up regulated in Rh4 cells (alveolar rhabdomyosarcoma,  ARMS) after knockdown of the PAX3 FOXO1 [GeneiD=5077;2308] fusion protein by RNAi for 72 hr.","198","null","Homo sapiens","MSigDB","50.8"
"MAX002396","A","Genes commonly up regulated in human alveolar rhabdomyosarcoma (ARMS) and its mouse model overexpressing PAX3 FOXO1 [GeneID=5077;2308] fusion.","95","null","Homo sapiens","MSigDB","41.3"
"MAX000597","A","Genes up regulated in RD cells (embryonal rhabdomyosarcoma,  ERMS) by expression of PAX3  or PAX7 FOXO1 [GeneID=5077;5081;2308] fusions off retroviral vectors.","237","null","Homo sapiens","MSigDB","30.0"
"MAX003310","A","Genes up regulated in RD EF cells (rhabdomyosarcoma) engineered to express EWSR1 FLI1 fusion [GeneID=2130;2313] and which are also highly expressed in Ewing's famliy tumors.","86","null","Homo sapiens","MSigDB","22.4"
"MAX000596","A","Genes down regulated in RD cells (embryonal rhabdomyosarcoma,  ERMS) by expression of PAX3  or PAX7 FOXO1 [GeneID=5077;5081;2308] fusions off retroviral vectors.","64","null","Homo sapiens","MSigDB","16.1"
"MAX000595","A","Genes up regulated in RMS cells (rhabdomyosarcoma) expressing PAX3 or PAX7 fusions with FOXO1 [GeneID=5077;5081;2308] compared to the fusion negative cell lines.","58","null","Homo sapiens","MSigDB","12.1"
"MAX000592","A","'PAX FKHR signature':  genes down regulated by PAX3  or PAX7 FOXO1 [GeneID=5081;5077;2308] fusion in primary alveolar rhabdomyosarcoma(ARMS) tumors.","20","null","Homo sapiens","MSigDB","8.82"
"FAX000522","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif GNNTTGTTTACNTT which matches annotation for FOXO1A: forkhead box O1A (rhabdomyosarcoma)","226","null","Homo sapiens","MSigDB","6.32"
"FAX000521","A","Genes with promoter regions [ 2kb, 2kb] around transcription start site containing the motif NRWAAACAAN which matches annotation for FOXO1A: forkhead box O1A (rhabdomyosarcoma)","220","null","Homo sapiens","MSigDB","5.09"
"MAX000593","A","'PAX FKHR signature':  genes up regulated by PAX3  or PAX7 FOXO1 [GeneID=5081;5077;2308] fusion in primary alveolar rhabdomyosarcoma(ARMS) tumors.","56","null","Homo sapiens","MSigDB","4.95"
"MAX000590","A","Genes down regulated in mARMS (molecular ARMS) compared to the mERMS (molecular ERMS) class of rhabdomyosarcoma tumors.","168","null","Homo sapiens","MSigDB","3.54"
"MAX000591","A","Genes up regulated in mARMS (molecular ARMS) compared to the mERMS (molecular ERMS) class of rhabdomyosarcoma tumors.","307","null","Homo sapiens","MSigDB","2.19"
"MAX000691","A","Genes down regulated in Rh4 cells (alveolar rhabdomyosarcoma,  ARMS) after knockdown of the PAX3 FOXO1 [GeneiD=5077;2308] fusion protein by RNAi for 72 hr.","45","null","Homo sapiens","MSigDB","0.524"
"GAX000699","A","Extraembryonic cell in embryo's normal cell","2","20452321","Mus musculus","CellMarker","0.00"
"MAX000594","A","Genes down regulated in RMS cells (rhabdomyosarcoma) expressing PAX3 or PAX7 fusions with FOXO1 [GeneID=5077;5081;2308] compared to the fusion negative cell lines.","15","null","Homo sapiens","MSigDB","0.00"
