"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"FEX003515","G","Sarcoma Chibon10 67genes genomeComplexityPredictor","59","20581836.0","Homo sapiens","GeneSigDB","3.30e+4"
"MAX000742","A","Genes up regulated in genomically unstable Ewing's sarcoma tumors compared to the stable ones.","148","null","Homo sapiens","MSigDB","2.54e+3"
"FEX002721","G","Sarcoma Mason04 549genes","448","15489886.0","Homo sapiens","GeneSigDB","2.29e+3"
"MAX001392","A","Genes up regulated in TC71 and EWS502 cells (Ewing's sarcoma) by EWSR1 FLI1  [GeneID=2130;2314] as inferred from RNAi knockdown of this fusion protein.","1149","null","Homo sapiens","MSigDB","1.14e+3"
"MAX002967","A","Angiogenic markers up regulated in lymph endothelial cells upon infection with KSHV (Kaposi's sarcoma herpes virus).","162","null","Homo sapiens","MSigDB","922"
"FEX002738","G","Sarcoma Missiaglia10 28genes","19","20502458.0","Homo sapiens","GeneSigDB","591"
"MAX002966","A","Angiogenic markers down regulated in lymph endothelial cells upon infection with KSHV (Kaposi's sarcoma herpes virus).","132","null","Homo sapiens","MSigDB","465"
"FEX002728","G","Sarcoma Baird05 12genes","7","16230383.0","Homo sapiens","GeneSigDB","341"
"FEX002725","G","Sarcoma Detwiller05 33genes","26","15994966.0","Homo sapiens","GeneSigDB","339"
"MAX002091","A","Top 20 genes whose down regulation correlated with gastrointestinal stromal tumors (GIST) and synovial sarcoma compared to other tumors.","20","null","Homo sapiens","MSigDB","297"
"FEX002734","G","Sarcoma Missiaglia10 212genes","136","20502458.0","Homo sapiens","GeneSigDB","261"
"MAX001778","A","Genes down regulated in at least 8 of 11 sarcoma cell lines by trabectedin [PubChem=3199].","256","null","Homo sapiens","MSigDB","207"
"MAX002071","A","Top 100 probe sets contrubuting to the positive side of the 1st principal component; predominantly associated with spindle cell and pleomorphic sarcoma samples.","74","null","Homo sapiens","MSigDB","193"
"MAX000834","A","Genes down regulated in the A673 cells (Ewing sarcoma) after double knockdown of both FLI1 and DAX1 [GeneID=2313;190] by RNAi.","155","null","Homo sapiens","MSigDB","187"
"MAX002105","A","Top 20 negative significant genes associated with synovial sarcoma tumors.","18","null","Homo sapiens","MSigDB","125"
"FEX002717","G","Sarcoma Zucchini04 79genes","75","15050898.0","Homo sapiens","GeneSigDB","123"
"MAX001779","A","Genes up regulated in at least 8 of 11 sarcoma cell lines by trabectedin [PubChem=3199].","68","null","Homo sapiens","MSigDB","60.9"
"FEX002720","G","Sarcoma Mason04 402genes","332","15489886.0","Homo sapiens","GeneSigDB","57.1"
"FEX002712","G","Sarcoma Nielsen02 36genes","25","11965276.0","Homo sapiens","GeneSigDB","54.3"
"FEX002733","G","Sarcoma Missiaglia10 176genes","109","20502458.0","Homo sapiens","GeneSigDB","50.2"
"FEX002737","G","Sarcoma Missiaglia10 18genes","14","20502458.0","Homo sapiens","GeneSigDB","49.0"
"FEX002722","G","Sarcoma Lee04 335genes","306","15492233.0","Homo sapiens","GeneSigDB","48.9"
"MAX002889","A","Protein kinase genes most significantly up regulated in ASPS (alveolar soft part sarcoma) tumors compared to four other types of primitive sarcomas.","10","null","Homo sapiens","MSigDB","47.8"
"MAX002094","A","Top 20 genes whose up regulation correlated with gastrointestinal stromal tumors (GIST) compared to synovial sarcoma.","19","null","Homo sapiens","MSigDB","38.8"
"FEX002716","G","Sarcoma Leonard03 7genes","7","14676807.0","Homo sapiens","GeneSigDB","29.4"
"FEX002726","G","Sarcoma Henderson05 54genes","48","16168083.0","Homo sapiens","GeneSigDB","21.7"
"MAX001227","A","Genes down regulated in synovial sarcoma samples with SYT SSX fusions resulting from translocation of SS18 [GeneID=SS18] to one of the SSX genes.","6","null","Homo sapiens","MSigDB","17.2"
"FEX002723","G","Sarcoma Lee04 80genes","76","15492233.0","Homo sapiens","GeneSigDB","14.3"
"MAX002674","A","Genes bound by EWSR1 FLT1 [GeneID=2130;2321] fusion and down regulated in STA ET 7.2 cells (Ewing's sarcoma) after knockdown of EWSR1 FLT1 by RNAi.","17","null","Homo sapiens","MSigDB","10.7"
"FEX002714","G","Sarcoma Xie03 8genes","8","14576825.0","Homo sapiens","GeneSigDB","9.92"
"MAX001438","A","Genes down regulated in ESFT cells (Ewing's sarcoma family of tumors) after knockdown of CD99 [GeneID=4267] by RNAi.","7","null","Homo sapiens","MSigDB","9.92"
"MAX002504","A","Genes up regulated in 293 cells (embryonic kidney) upon expression of KHSV (Kaposi sarcoma associated herpesvirus) microRNAs.","8","null","Homo sapiens","MSigDB","9.92"
"MAX002456","A","ES/PNET (Ewing sarcoma; primitive neuroectodermal tumors) markers up regulated in neuroblastoma cell lines expressing ESWR1 FLI1 [GeneID=2130;2313] fusion protein.","28","null","Homo sapiens","MSigDB","9.84"
"MAX002093","A","Top 20 genes whose down regulation correlated with gastrointestinal stromal tumors (GIST) compared to synovial sarcoma.","18","null","Homo sapiens","MSigDB","8.82"
"MAX002092","A","Top 20 genes whose up regulation correlated with gastrointestinal stromal tumors (GIST) and synovial sarcoma compared to other tumors.","19","null","Homo sapiens","MSigDB","8.29"
"MAX002070","A","Top 100 probe sets contrubuting to the negative side of the 1st principal component; predominantly associated with synovial sarcoma and myxoid/round cell liposarcoma samples.","72","null","Homo sapiens","MSigDB","7.25"
"MAX002503","A","Genes down regulated in 293 cells (embryonic kidney) upon expression of KHSV (Kaposi sarcoma associated herpesvirus) microRNAs.","57","null","Homo sapiens","MSigDB","6.25"
"FEX002727","G","Sarcoma Henderson05 66genes","52","16168083.0","Homo sapiens","GeneSigDB","6.03"
