"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX002464","A","The 'Cervical Cancer Proliferation Cluster' (CCPC): genes whose expression in cervical carcinoma positively correlates with that of the HPV E6 and E7 oncogenes; they are also differentially expressed according to disease outcome.","131","null","Homo sapiens","MSigDB","2.85e+4"
"WIG000482","P","Basal cell carcinoma","55","null","Homo sapiens","MSigDB","8.04e+3"
"MAX000462","A","Top 200 marker genes up regulated in the 'proliferation' subclass of hepatocellular carcinoma (HCC); characterized by increased proliferation,  high levels of serum AFP [GeneID=174],  and chromosomal instability.","165","null","Homo sapiens","MSigDB","5.57e+3"
"WIG000608","P","Renal cell carcinoma","66","null","Homo sapiens","MSigDB","3.46e+3"
"MAX001952","A","Up regulated genes predicting poor survival of patients with thyroid carcinoma.","12","null","Homo sapiens","MSigDB","3.32e+3"
"MAX001611","A","Genes whose expression profile is specific to Cluster III of urothelial cell carcinoma (UCC) tumors.","296","null","Homo sapiens","MSigDB","2.06e+3"
"MAX003220","A","Up regulated genes distinguishing hepatocellular carcinoma (HCC) samples positive for EPCAM [GeneID=4072] from the negative ones.","52","null","Homo sapiens","MSigDB","1.83e+3"
"WIG000420","P","Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells","15","null","Homo sapiens","MSigDB","1.64e+3"
"MAX002408","A","Cluster f: genes identifying an intrinsic group in head and neck squamous cell carcinoma (HNSCC).","53","null","Homo sapiens","MSigDB","1.52e+3"
"MAX000314","A","Genes down regulated in tumor adjacent liver tissue,  which is asociated with intrahepatic metastasis of hepatocellular carcinoma","7","null","Homo sapiens","MSigDB","1.47e+3"
"MAX002168","A","Genes showing frequent DNA methylation and which are silenced in adult cancers but remain unmethylated in embryonic carcinoma and embryonic stem (ES) cells.","27","null","Homo sapiens","MSigDB","1.43e+3"
"MAX002613","A","Genes up regulated in nsopharyngeal carcinoma relative to the normal tissue.","276","null","Homo sapiens","MSigDB","1.25e+3"
"MAX000265","A","Growth factor signaling components up regulated  in hepatocellular carcinoma (HCC).","22","null","Homo sapiens","MSigDB","1.23e+3"
"MAX000233","A","Up regulated genes in hepatocellular carcinoma (HCC) subclass G23,  defined by unsupervised clustering.","47","null","Homo sapiens","MSigDB","1.07e+3"
"MAX000661","A","Genes down regulated in nasopharyngeal carcinoma (NPC) compared to the normal tissue.","1219","null","Homo sapiens","MSigDB","1.06e+3"
"MAX001605","A","Down regulated genes whose expression profile is specific to Custer I of urothelial cell carcinoma (UCC) tumors.","354","null","Homo sapiens","MSigDB","819"
"MAX003122","A","Genes periodically expressed in synchronized HeLa cells (cervical carcinoma),  with peak during the G2/M phase of cell cycle.","196","null","Homo sapiens","MSigDB","800"
"MAX002840","A","Genes modulated in HeLa cells (cervical carcinoma) by TNF [GeneID=7124] via NFKB pathway.","26","null","Homo sapiens","MSigDB","774"
