"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"MAX002464","A","The 'Cervical Cancer Proliferation Cluster' (CCPC): genes whose expression in cervical carcinoma positively correlates with that of the HPV E6 and E7 oncogenes; they are also differentially expressed according to disease outcome.","131","null","Homo sapiens","MSigDB","2.85e+4"
"WIG000482","P","Basal cell carcinoma","55","null","Homo sapiens","MSigDB","8.04e+3"
"MAX000462","A","Top 200 marker genes up regulated in the 'proliferation' subclass of hepatocellular carcinoma (HCC); characterized by increased proliferation,  high levels of serum AFP [GeneID=174],  and chromosomal instability.","165","null","Homo sapiens","MSigDB","5.57e+3"
"WIG000333","P","Growth Hormone Signaling Pathway","28","null","Homo sapiens","MSigDB","4.57e+3"
"WIG000890","P","Genes involved in Growth hormone receptor signaling","24","null","Homo sapiens","MSigDB","3.89e+3"
"WIG001840","P","Apoptosis Anti Apoptosis Network","156","null","Homo sapiens","Spike","3.53e+3"
"WIG000608","P","Renal cell carcinoma","66","null","Homo sapiens","MSigDB","3.46e+3"
"MAX001952","A","Up regulated genes predicting poor survival of patients with thyroid carcinoma.","12","null","Homo sapiens","MSigDB","3.32e+3"
"WIG000154","P","Regulation of retinoblastoma protein","65","null","Homo sapiens","MSigDB","3.21e+3"
"WIG000348","P","IL 10 Anti inflammatory Signaling Pathway","17","null","Homo sapiens","MSigDB","2.17e+3"
"MAX001611","A","Genes whose expression profile is specific to Cluster III of urothelial cell carcinoma (UCC) tumors.","296","null","Homo sapiens","MSigDB","2.06e+3"
"MAX003220","A","Up regulated genes distinguishing hepatocellular carcinoma (HCC) samples positive for EPCAM [GeneID=4072] from the negative ones.","52","null","Homo sapiens","MSigDB","1.83e+3"
"MAX002595","A","The 'CLASS 11' set of pro  and anti inflammatory cytokines whose expression identifies stage I lung adenocarcinoma patients with poor prognosis.","9","null","Homo sapiens","MSigDB","1.69e+3"
"WIG001341","P","Anti diabetic Drug Potassium Channel Inhibitors Pathway,  Pharmacodynamics","28","null","Homo sapiens","PharmGKB","1.69e+3"
"WIG000420","P","Nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells","15","null","Homo sapiens","MSigDB","1.64e+3"
"MAX001934","A","Genes down regulated in the MM1S cells (multiple myeloma) after treatment with aplidin [PubChem=44152164],  a marine derived compound with potential anti cancer properties.","238","null","Homo sapiens","MSigDB","1.62e+3"
"GEX000145","G","arthritis,  rheumatoid|rheumatoid arthritis|anti tnf response","12","null","Homo sapiens","GAD","1.58e+3"
"MAX002408","A","Cluster f: genes identifying an intrinsic group in head and neck squamous cell carcinoma (HNSCC).","53","null","Homo sapiens","MSigDB","1.52e+3"
"MAX000314","A","Genes down regulated in tumor adjacent liver tissue,  which is asociated with intrahepatic metastasis of hepatocellular carcinoma","7","null","Homo sapiens","MSigDB","1.47e+3"
