"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG001840","P","Apoptosis Anti Apoptosis Network","156","null","Homo sapiens","Spike","3.53e+3"
"WIG000348","P","IL 10 Anti inflammatory Signaling Pathway","17","null","Homo sapiens","MSigDB","2.17e+3"
"MAX002595","A","The 'CLASS 11' set of pro  and anti inflammatory cytokines whose expression identifies stage I lung adenocarcinoma patients with poor prognosis.","9","null","Homo sapiens","MSigDB","1.69e+3"
"WIG001341","P","Anti diabetic Drug Potassium Channel Inhibitors Pathway,  Pharmacodynamics","28","null","Homo sapiens","PharmGKB","1.69e+3"
"MAX001934","A","Genes down regulated in the MM1S cells (multiple myeloma) after treatment with aplidin [PubChem=44152164],  a marine derived compound with potential anti cancer properties.","238","null","Homo sapiens","MSigDB","1.62e+3"
"GEX000145","G","arthritis,  rheumatoid|rheumatoid arthritis|anti tnf response","12","null","Homo sapiens","GAD","1.58e+3"
"MAX003295","A","Selected genes down regulated in DU145 and PC 3 cells (prostate cancer) after treatment with the NSAID (non steroid anti inflammatory drug) sulindac [PubChem=5352].","6","null","Homo sapiens","MSigDB","879"
"MAX001655","A","The 'cytidine analog pathway': genes involved in transport and metabolism of the anti cancer analogs of cytidine: gemcitabine and cytarabine [PubChem=596;3461;6253].","16","null","Homo sapiens","MSigDB","716"
"WIG001343","P","Anti diabetic Drug Nateglinide Pathway,  Pharmacokinetics","3","null","Homo sapiens","PharmGKB","384"
"WIG001342","P","Anti diabetic Drug Repaglinide Pathway,  Pharmacokinetics","3","null","Homo sapiens","PharmGKB","384"
"MAX003296","A","Selected genes up regulated in DU145 and PC 3 cells (prostate cancer) after treatment with the NSAID (non steroid anti inflammatory drug) sulindac [PubChem=5352].","8","null","Homo sapiens","MSigDB","215"
"FEX001143","G","Immune Kong10 1790genes ImmPort Anti IgMvsControl","1095","20460173.0","Homo sapiens","GeneSigDB","209"
"FAX001832","A","Genes down regulated in comparison of CD4 [GeneID=920] T cells treated with IL4 [GeneID=3565] and anti IL12 at 24 h versus the untreated cells at 24 h.","166","null","Homo sapiens","MSigDB","138"
"GEX000110","G","anti gbm disease","2","null","Homo sapiens","GAD","126"
"FAX001814","A","Genes down regulated in comparison of untreated CD4 [GeneID=920] T cells at 0 h versus the cells treated with IL4 [GeneID=3565] and anti IL12 at 24 h.","178","null","Homo sapiens","MSigDB","104"
"MAX002632","A","IRF4 [GeneID=3662] target genes induced after activation of primary B lymphocytes by anti IgM crosslinking.","72","null","Homo sapiens","MSigDB","94.5"
"FAX002904","A","Genes down regulated in comparison of monocytes treated with anti TREM1 [GeneID=54210] versus monocytes treated with 1 ng/ml LPS (TLR4 agonist).","178","null","Homo sapiens","MSigDB","88.7"
"FAX002906","A","Genes down regulated in comparison of monocytes treated with anti TREM1 [GeneID=54210] versus monocytes treated with 5000 ng/ml LPS (TLR4 agonist).","176","null","Homo sapiens","MSigDB","86.6"
"FAX002900","A","Genes down regulated in comparison of monocytes treated with anti TREM1 [GeneID=54210] versus monocytes treated with anti TREM1 [GeneID=54210] and 5000 ng/ml LPS (TLR4 agonist).","172","null","Homo sapiens","MSigDB","75.0"
"FAX002908","A","Genes down regulated in comparison of monocytes treated with anti TREM1 [GeneID=54210] versus monocytes treated wth vehicle.","184","null","Homo sapiens","MSigDB","58.9"
"FAX002898","A","Genes down regulated in comparison of monocytes treated with anti TREM1 [GeneID=54210] and 5000 ng/ml LPS (TLR4 agonist) versus monocytes treated with vehicle (control).","188","null","Homo sapiens","MSigDB","41.3"
"FAX001842","A","Genes down regulated in comparison of CD4 [GeneID=920] T cells treated with IL4 [GeneID=3565] and anti IL12 at 72 h versus the untreated cells at 72 h.","176","null","Homo sapiens","MSigDB","38.4"
"FAX001836","A","Genes down regulated in comparison of CD4 [GeneID=920] T cells treated with IL4 [GeneID=3565] and anti IL12 at 48 h versus the untreated cells at 48 h.","168","null","Homo sapiens","MSigDB","37.3"
"FAX002921","A","Genes up regulated in comparison of monocytes treated with 5000 ng/ml LPS (TLR4 agonist) versus monocytes treated with anti TREM1 [GeneID=54210].","184","null","Homo sapiens","MSigDB","34.4"
"FAX001820","A","Genes down regulated in comparison of untreated CD4 [GeneID=920] T cells at 0 h versus the cells treated with IL4 [GeneID=3565] and anti IL12 at 4 h.","173","null","Homo sapiens","MSigDB","29.8"
