"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX001067","G","malaria","18","null","Homo sapiens","GAD","169"
"GEX000386","G","cerebral malaria","4","null","Homo sapiens","GAD","130"
"GEX000985","G","leishmaniasis,  cutaneous","2","null","Homo sapiens","GAD","126"
"GEX001070","G","malaria,  plasmodium falciparum","5","null","Homo sapiens","GAD","109"
"GEX000396","G","chagas cardiomyopathy","3","null","Homo sapiens","GAD","59.7"
"GEX167931","G","Leishmaniasis (visceral)","2","23291585.0","Homo sapiens","GWAS Catalog","59.7"
"GEX001069","G","malaria,  cerebral","2","null","Homo sapiens","GAD","0.00"
"GEX001068","G","malaria infection","3","null","Homo sapiens","GAD","0.00"
"GEX001492","G","severe malaria","4","null","Homo sapiens","GAD","0.00"
"GEX167795","G","Malaria","4","22895189.0","Homo sapiens","GWAS Catalog","0.00"
"GEX166837","G","Malaria","3","19465909.0","Homo sapiens","GWAS Catalog","0.00"
