"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000814","G","hepatitis b","16","null","Homo sapiens","GAD","1.13e+3"
"MAX000649","A","Clusters 1 and 2: genes up regulated in B2264 19/3 cells (primary B lymphocytes) within 30 60 min after activation of LMP1 (an oncogene encoded by Epstein Barr virus,  EBV).","64","null","Homo sapiens","MSigDB","431"
"MAX003127","A","Genes induced in the liver during hepatitis B (HBV) viral clearance in chimpanzees.","95","null","Homo sapiens","MSigDB","408"
"MAX000127","A","Gene up regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","99","null","Homo sapiens","MSigDB","231"
"MAX003164","A","Genes negatively correlated with recurrence free survival in patients with hepatitis B related (HBV) hepatocellular carcinoma (HCC).","79","null","Homo sapiens","MSigDB","230"
"MAX000650","A","Cluster 4: genes down regulated in B2264 19/3 cells (primary B lymphocytes) within 60 180 min after activation of LMP1 (an oncogene encoded by Epstein Barr virus,  EBV).","31","null","Homo sapiens","MSigDB","219"
"GEX000817","G","hepatitis b,  chronic","13","null","Homo sapiens","GAD","181"
"GEX167742","G","Hepatitis B (viral clearance)","2","22737229.0","Homo sapiens","GWAS Catalog","126"
"GEX001673","G","warts","2","null","Homo sapiens","GAD","126"
"MAX003165","A","Genes positively correlated with recurrence free survival in patients with hepatitis B related (HBV) hepatocellular carcinoma (HCC).","101","null","Homo sapiens","MSigDB","58.7"
"MAX003163","A","Genes up regulated in the Ad/AH cells (adenocarcinoma) engineered to stably express the Epstein Barr virus (EBV) gene EBNA1.","108","null","Homo sapiens","MSigDB","52.3"
"GEX167408","G","Hepatitis B","3","21750111.0","Homo sapiens","GWAS Catalog","35.8"
"MAX000651","A","Cluster 3: genes up regulated in B2264 19/3 cells (primary B lymphocytes) within 60 180 min after activation of LMP1 (an oncogene encoded by Epstein Barr virus,  EBV).","53","null","Homo sapiens","MSigDB","32.9"
"GEX167703","G","Immune reponse to smallpox (secreted IL 10)","4","22610502.0","Homo sapiens","GWAS Catalog","17.2"
"MAX000126","A","Gene down regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma).","64","null","Homo sapiens","MSigDB","13.1"
"GEX167951","G","Epstein Barr virus immune response (EBNA 1)","7","23326239.0","Homo sapiens","GWAS Catalog","12.2"
"MAX002615","A","Genes up regulated in nasopharyngeal carcinoma (NPC) positive for LMP1 [GeneID=9260],  a latent gene of Epstein Barr virus (EBV).","376","null","Homo sapiens","MSigDB","10.1"
"GEX167708","G","Immune response to smallpox vaccine (IL 6)","8","22610502.0","Homo sapiens","GWAS Catalog","6.28"
"MAX003162","A","Genes down regulated in the Ad/AH cells (adenocarcinoma) engineered to stably express the Epstein Barr virus (EBV) gene EBNA1.","46","null","Homo sapiens","MSigDB","4.06"
"GEX167706","G","Immune reponse to smallpox (secreted IL 2)","12","22610502.0","Homo sapiens","GWAS Catalog","1.47"
"MAX002614","A","Genes down regulated in nasopharyngeal carcinoma (NPC) positive for LMP1 [GeneID=9260],  a latent gene of Epstein Barr virus (EBV).","159","null","Homo sapiens","MSigDB","1.47"
"GEX167670","G","Immune response to smallpox vaccine (IL 6)","29","22542470.0","Homo sapiens","GWAS Catalog","0.630"
"GEX000815","G","hepatitis b liver cancer","2","null","Homo sapiens","GAD","0.00"
"MAX002611","A","Genes whose reduced expression in nasopharyngeal carinoma (NPC) correlated most with the increased expression of EBNA1 [GeneID=3783774],  a latent gene of Epstein Barr virus (EBV).","142","null","Homo sapiens","MSigDB","0.00"
"GEX167908","G","Hepatocellular carcinoma (hepatitis B virus related)","1","23242368.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000644","G","epstein barr virus infection","1","null","Homo sapiens","GAD","0.00"
"GEX000816","G","hepatitis b vaccines","4","null","Homo sapiens","GAD","0.00"
"GEX167702","G","Immune reponse to smallpox (secreted IFN alpha)","24","22610502.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167704","G","Immune reponse to smallpox (secreted IL 12p40)","9","22610502.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167707","G","Immune reponse to smallpox (secreted TNF alpha)","7","22610502.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167705","G","Immune reponse to smallpox (secreted IL 1beta)","9","22610502.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167413","G","Hepatitis B vaccine response","1","21764829.0","Homo sapiens","GWAS Catalog","0.00"
"GAX000538","A","Macrophage in kidney's normal cell","94","29622724","Mus musculus","CellMarker","0.00"
