"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX000814","G","hepatitis b","16","null","Homo sapiens","GAD","1.13e+3"
"MAX003127","A","Genes induced in the liver during hepatitis B (HBV) viral clearance in chimpanzees.","95","null","Homo sapiens","MSigDB","408"
"MAX003164","A","Genes negatively correlated with recurrence free survival in patients with hepatitis B related (HBV) hepatocellular carcinoma (HCC).","79","null","Homo sapiens","MSigDB","230"
"GEX000817","G","hepatitis b,  chronic","13","null","Homo sapiens","GAD","181"
"GEX167742","G","Hepatitis B (viral clearance)","2","22737229.0","Homo sapiens","GWAS Catalog","126"
"MAX003165","A","Genes positively correlated with recurrence free survival in patients with hepatitis B related (HBV) hepatocellular carcinoma (HCC).","101","null","Homo sapiens","MSigDB","58.7"
"GEX167408","G","Hepatitis B","3","21750111.0","Homo sapiens","GWAS Catalog","35.8"
"GEX000815","G","hepatitis b liver cancer","2","null","Homo sapiens","GAD","0.00"
"GEX000816","G","hepatitis b vaccines","4","null","Homo sapiens","GAD","0.00"
"GEX167413","G","Hepatitis B vaccine response","1","21764829.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167908","G","Hepatocellular carcinoma (hepatitis B virus related)","1","23242368.0","Homo sapiens","GWAS Catalog","0.00"
