"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"GEX167949","G","Hepatitis C induced liver cirrhosis","1","23321320.0","Homo sapiens","GWAS Catalog","126"
"GEX000818","G","hepatitis c","16","null","Homo sapiens","GAD","125"
"GEX000820","G","hepatitis c,  chronic","22","null","Homo sapiens","GAD","45.4"
"GEX167779","G","Hepatitis C induced liver fibrosis","5","22841784.0","Homo sapiens","GWAS Catalog","17.2"
"GEX000819","G","hepatitis c virus infection","2","null","Homo sapiens","GAD","0.00"
"GEX000821","G","hepatitis c,  chronic|liver cirrhosis","2","null","Homo sapiens","GAD","0.00"
"GEX000425","G","chronic hepatitis c","1","null","Homo sapiens","GAD","0.00"
"GEX000440","G","cirrhosis hepatitis c,  chronic","2","null","Homo sapiens","GAD","0.00"
"GEX167371","G","Response to hepatitis C treatment","2","21659334.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167538","G","Response to hepatitis C treatment","7","22095909.0","Homo sapiens","GWAS Catalog","0.00"
