"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"FAX001874","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 6 h versus cDCs infected with Newcastle disease virus (NDV) at 6 h.","173","null","Homo sapiens","MSigDB","968"
"FAX001864","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 8 h.","179","null","Homo sapiens","MSigDB","791"
"FAX001862","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 6 h.","182","null","Homo sapiens","MSigDB","744"
"FAX001866","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 10 h versus cDCs infected with Newcastle disease virus (NDV) at 10 h.","172","null","Homo sapiens","MSigDB","642"
"FAX001860","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 4 h.","169","null","Homo sapiens","MSigDB","533"
"FAX001868","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 18 h versus cDCs infected with Newcastle disease virus (NDV) at 18 h.","161","null","Homo sapiens","MSigDB","271"
"FAX001846","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 10 h.","178","null","Homo sapiens","MSigDB","270"
"FAX001852","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 16 h.","178","null","Homo sapiens","MSigDB","165"
"FAX001848","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 12 h.","173","null","Homo sapiens","MSigDB","139"
"FAX001850","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 14 h.","171","null","Homo sapiens","MSigDB","55.2"
"FAX001854","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 18 h.","164","null","Homo sapiens","MSigDB","29.4"
"FAX001853","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 16 h.","174","null","Homo sapiens","MSigDB","22.7"
"FAX001849","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 12 h.","174","null","Homo sapiens","MSigDB","12.3"
"FAX001869","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 18 h versus cDCs infected with Newcastle disease virus (NDV) at 18 h.","181","null","Homo sapiens","MSigDB","8.41"
"FAX001851","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 14 h.","179","null","Homo sapiens","MSigDB","6.61"
"FAX001865","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 8 h.","170","null","Homo sapiens","MSigDB","6.00"
"FAX001855","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 18 h.","181","null","Homo sapiens","MSigDB","3.70"
"FAX001847","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 10 h.","169","null","Homo sapiens","MSigDB","2.86"
"FAX001867","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 10 h versus cDCs infected with Newcastle disease virus (NDV) at 10 h.","177","null","Homo sapiens","MSigDB","2.61"
"FAX001858","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.","158","null","Homo sapiens","MSigDB","2.39"
"FAX001863","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 6 h.","173","null","Homo sapiens","MSigDB","2.25"
"FAX001861","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 4 h.","166","null","Homo sapiens","MSigDB","0.288"
"FAX001875","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 6 h versus cDCs infected with Newcastle disease virus (NDV) at 6 h.","178","null","Homo sapiens","MSigDB","0.161"
"FAX001859","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.","170","null","Homo sapiens","MSigDB","0.00746"
"FAX001856","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.","162","null","Homo sapiens","MSigDB","0.00"
"FAX001857","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.","153","null","Homo sapiens","MSigDB","0.00"
"FAX001870","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 1 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.","168","null","Homo sapiens","MSigDB","0.00"
"FAX001871","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 1 h versus cDCs infected with Newcastle disease virus (NDV) at 1 h.","154","null","Homo sapiens","MSigDB","0.00"
"FAX001872","A","Genes down regulated in comparison of control conventional dendritic cells (cDC) at 2 h versus cDCs infected with Newcastle disease virus (NDV) at 2 h.","157","null","Homo sapiens","MSigDB","0.00"
"FAX001873","A","Genes up regulated in comparison of control conventional dendritic cells (cDC) at 2 h versus cDCs infected with Newcastle disease virus (NDV) at 2 h.","159","null","Homo sapiens","MSigDB","0.00"
