"PAG ID","PAG Type","PAG Name","Size","Pubmed Reference","Organism","Data source","cohension"
"WIG000846","P","Genes involved in Formation of the HIV 1 Early Elongation Complex","29","null","Homo sapiens","MSigDB","1.04e+4"
"WIG000962","P","Genes involved in Late Phase of HIV Life Cycle","93","null","Homo sapiens","MSigDB","7.70e+3"
"WIG000081","P","HIV 1 Nef: Negative effector of Fas and TNF alpha","35","null","Homo sapiens","MSigDB","7.04e+3"
"WIG000651","P","Genes involved in Abortive elongation of HIV 1 transcript in the absence of Tat","19","null","Homo sapiens","MSigDB","6.33e+3"
"WIG000909","P","Genes involved in Host Interactions of HIV factors","120","null","Homo sapiens","MSigDB","5.96e+3"
"WIG000905","P","Genes involved in HIV Life Cycle","108","null","Homo sapiens","MSigDB","5.34e+3"
"WIG000343","P","HIV I Nef: negative effector of Fas and TNF","58","null","Homo sapiens","MSigDB","4.37e+3"
"WIG000904","P","Genes involved in HIV Infection","188","null","Homo sapiens","MSigDB","4.33e+3"
"WIG001273","P","Genes involved in The role of Nef in HIV 1 replication and disease pathogenesis","28","null","Homo sapiens","MSigDB","1.31e+3"
"WIG000439","P","HIV Induced T Cell Apoptosis","9","null","Homo sapiens","MSigDB","859"
"GEX000841","G","hiv","33","null","Homo sapiens","GAD","521"
"GEX167189","G","HIV 1 control","4","21051598.0","Homo sapiens","GWAS Catalog","226"
"MAX001393","A","Genes down regulated in AIDS related primary effusion lymphoma (PEL) samples compared to other tumor subtypes and normal B lymphocytes.","54","null","Homo sapiens","MSigDB","167"
"WIG000815","P","Genes involved in Early Phase of HIV Life Cycle","15","null","Homo sapiens","MSigDB","154"
"GEX000842","G","hiv infection","2","null","Homo sapiens","GAD","126"
"WIG000726","P","Genes involved in Binding and entry of HIV virion","6","null","Homo sapiens","MSigDB","82.7"
"FAX002032","A","Genes down regulated in comparison of CD8 T cells with progressing HIV infection versus those with controlled HIV infection.","184","null","Homo sapiens","MSigDB","55.7"
"GEX000843","G","hiv infections","5","null","Homo sapiens","GAD","53.8"
"GEX166933","G","Carotid atherosclerosis in HIV infection","7","20009918.0","Homo sapiens","GWAS Catalog","29.4"
"WIG000704","P","Genes involved in APOBEC3G mediated resistance to HIV 1 infection","7","null","Homo sapiens","MSigDB","28.5"
"GEX166953","G","HIV 1 control","14","20041166.0","Homo sapiens","GWAS Catalog","26.7"
"GEX000846","G","hiv 1 control","14","null","Homo sapiens","GAD","23.5"
"GEX000371","G","carotid atherosclerosis in hiv infection","7","null","Homo sapiens","GAD","22.9"
"GEX166756","G","AIDS progression","7","19115949.0","Homo sapiens","GWAS Catalog","18.3"
"GEX000044","G","aids progression","7","null","Homo sapiens","GAD","18.3"
"MAX001394","A","Genes up regulated in AIDS related primary effusion lymphoma (PEL) samples compared to other tumor subtypes and normal B lymphocytes.","49","null","Homo sapiens","MSigDB","12.7"
"FAX002033","A","Genes up regulated in comparison of CD8 T cells with progressing HIV infection versus those with controlled HIV infection.","188","null","Homo sapiens","MSigDB","4.53"
"GEX000013","G","acquired immunodeficiency syndrome|disease progression","1","null","Homo sapiens","GAD","0.00"
"GEX167557","G","HIV 1 susceptibility","7","22174851.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167558","G","HIV 1 viral setpoint","8","22174851.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167321","G","AIDS progression","6","21502085.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167000","G","HIV 1 control","7","20205591.0","Homo sapiens","GWAS Catalog","0.00"
"GEX166896","G","AIDS","3","19754311.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167232","G","HIV 1 susceptibility","4","21160409.0","Homo sapiens","GWAS Catalog","0.00"
"GEX167458","G","Fat distribution (HIV)","17","21897333.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000845","G","hiv 1","73","null","Homo sapiens","GAD","0.00"
"GEX000043","G","aids","5","null","Homo sapiens","GAD","0.00"
"GEX167709","G","HIV associated dementia","2","22628157.0","Homo sapiens","GWAS Catalog","0.00"
"GEX000844","G","hiv infections|[x]human immunodeficiency virus disease","2","null","Homo sapiens","GAD","0.00"
"GEX000847","G","hiv rna and cellular hiv dna levels","1","null","Homo sapiens","GAD","0.00"
"GEX000012","G","acquired immunodeficiency syndrome","14","null","Homo sapiens","GAD","0.00"
