p_within,p_between,node,connection
0.1,0.1,0.0,0.13333333333333333
0.1,0.1,1.0,0.13333333333333333
0.1,0.1,2.0,0.08888888888888889
0.1,0.1,3.0,0.10606060606060606
0.1,0.1,4.0,0.06666666666666667
0.1,0.1,5.0,0.07272727272727272
0.1,0.1,6.0,0.07692307692307693
0.1,0.1,7.0,0.09523809523809523
0.1,0.1,8.0,0.1111111111111111
0.1,0.1,9.0,0.0
0.1,0.1,10.0,0.14285714285714285
0.1,0.1,11.0,0.04395604395604396
0.1,0.1,12.0,0.047619047619047616
0.1,0.1,13.0,0.1111111111111111
0.1,0.1,14.0,0.08888888888888889
0.1,0.1,15.0,0.08333333333333333
0.1,0.1,16.0,0.09090909090909091
0.1,0.1,17.0,0.12727272727272726
0.1,0.1,18.0,0.09090909090909091
0.1,0.1,19.0,0.1
0.1,0.1,20.0,0.07575757575757576
0.1,0.1,21.0,0.027777777777777776
0.1,0.1,22.0,0.08333333333333333
0.1,0.1,23.0,0.07142857142857142
0.1,0.1,24.0,0.2
0.1,0.1,25.0,0.13333333333333333
0.1,0.1,26.0,0.14285714285714285
0.1,0.1,27.0,0.06666666666666667
0.1,0.1,28.0,0.07142857142857142
0.1,0.1,29.0,0.06666666666666667
0.1,0.1,30.0,0.06060606060606061
0.1,0.1,31.0,0.2
0.1,0.1,32.0,0.08333333333333333
0.1,0.1,33.0,0.2
0.1,0.1,34.0,0.1111111111111111
0.1,0.1,35.0,0.16363636363636364
0.1,0.1,36.0,0.13333333333333333
0.1,0.1,37.0,0.13333333333333333
0.1,0.1,38.0,0.12380952380952381
0.1,0.1,39.0,0.10256410256410256
0.1,0.1,40.0,0.03571428571428571
0.1,0.1,41.0,0.0
0.1,0.1,42.0,0.06060606060606061
0.1,0.1,43.0,0.14285714285714285
0.1,0.1,44.0,0.15151515151515152
0.1,0.1,45.0,0.05555555555555555
0.1,0.1,46.0,0.1111111111111111
0.1,0.1,47.0,0.0
0.1,0.1,48.0,0.1111111111111111
0.1,0.1,49.0,0.13333333333333333
0.1,0.1,50.0,0.06666666666666667
0.1,0.1,51.0,0.09090909090909091
0.1,0.1,52.0,0.027777777777777776
0.1,0.1,53.0,0.09523809523809523
0.1,0.1,54.0,0.1282051282051282
0.1,0.1,55.0,0.11764705882352941
0.1,0.1,56.0,0.10476190476190476
0.1,0.1,57.0,0.10714285714285714
0.1,0.1,58.0,0.13636363636363635
0.1,0.1,59.0,0.06060606060606061
0.1,0.1,60.0,0.17857142857142858
0.1,0.1,61.0,0.09090909090909091
0.1,0.1,62.0,0.1111111111111111
0.1,0.1,63.0,0.1111111111111111
0.1,0.1,64.0,0.10476190476190476
0.1,0.1,65.0,0.10714285714285714
0.1,0.1,66.0,0.12121212121212122
0.1,0.1,67.0,0.03571428571428571
0.1,0.1,68.0,0.08333333333333333
0.1,0.1,69.0,0.08333333333333333
0.1,0.1,70.0,0.05454545454545454
0.1,0.1,71.0,0.4
0.1,0.1,72.0,0.1
0.1,0.1,73.0,0.17857142857142858
0.1,0.1,74.0,0.07272727272727272
0.1,0.1,75.0,0.1282051282051282
0.1,0.1,76.0,0.03571428571428571
0.1,0.1,77.0,0.0
0.1,0.1,78.0,0.09558823529411764
0.1,0.1,79.0,0.08333333333333333
0.1,0.1,80.0,0.05454545454545454
0.1,0.1,81.0,0.21428571428571427
0.1,0.1,82.0,0.14545454545454545
0.1,0.1,83.0,0.10714285714285714
0.1,0.1,84.0,0.13333333333333333
0.1,0.1,85.0,0.08333333333333333
0.1,0.1,86.0,0.13333333333333333
0.1,0.1,87.0,0.14285714285714285
0.1,0.1,88.0,0.0
0.1,0.1,89.0,0.19047619047619047
0.1,0.1,90.0,0.2
0.1,0.1,91.0,0.12631578947368421
0.1,0.1,92.0,0.1111111111111111
0.1,0.1,93.0,0.15555555555555556
0.1,0.1,94.0,0.09523809523809523
0.1,0.1,95.0,0.044444444444444446
0.1,0.1,96.0,0.08888888888888889
0.1,0.1,97.0,0.13333333333333333
0.1,0.1,98.0,0.08888888888888889
0.1,0.1,99.0,0.5
0.2,0.1,0.0,0.19047619047619047
0.2,0.1,1.0,0.16483516483516483
0.2,0.1,2.0,0.125
0.2,0.1,3.0,0.17543859649122806
0.2,0.1,4.0,0.16666666666666666
0.2,0.1,5.0,0.10989010989010989
0.2,0.1,6.0,0.11764705882352941
0.2,0.1,7.0,0.14285714285714285
0.2,0.1,8.0,0.06593406593406594
